"year","month","mei","mei_lag12","npgo","npgo_lag12","pdo","pdo_lag12"
1980,1,0.677,0.608,-0.978792923333333,-0.62967499,-0.0166666666666667,-0.36
1980,2,0.601,0.379,-1.38887589666667,-0.62114414,0.263333333333333,-0.78
1980,3,0.684,0.002,-1.59208716666667,-0.458971533333333,0.766666666666667,-0.536666666666667
1980,4,0.912,0.301,-0.979723802666667,-0.632163113333333,1.3,-0.0466666666666667
1980,5,0.958,0.374,-0.475883982666667,-0.81500131,1.26,0.76
1980,6,0.911,0.429,-0.319774766,-0.87962938,0.823333333333333,0.716666666666667
1980,7,0.769,0.396,-0.62799143,-0.917591746666667,0.403333333333333,0.7
1980,8,0.329,0.615,-0.918769883333333,-1.07398596333333,0.173333333333333,0.51
1980,9,0.263,0.759,-0.923492126666667,-1.06135029666667,0.28,0.786666666666667
1980,10,0.192,0.655,-0.615355887333333,-0.88290183,0.653333333333333,0.86
1980,11,0.248,0.734,-0.299145240666667,-0.62992959,0.606666666666667,0.846666666666667
1980,12,0.111,1.004,-0.161075044,-0.54880309,0.54,0.373333333333333
1981,1,-0.25,0.677,-0.22720301,-0.978792923333333,0.286666666666667,-0.0166666666666667
1981,2,-0.14,0.601,-0.53494929,-1.38887589666667,0.65,0.263333333333333
1981,3,0.455,0.684,-0.670896743333333,-1.59208716666667,1.01333333333333,0.766666666666667
1981,4,0.669,0.912,-0.79166241,-0.979723802666667,1.3,1.3
1981,5,0.189,0.958,-0.372529246666667,-0.475883982666667,1.39666666666667,1.26
1981,6,-0.024,0.911,-0.1394097222,-0.319774766,1.63,0.823333333333333
1981,7,-0.026,0.769,-0.105860488866667,-0.62799143,1.42666666666667,0.403333333333333
1981,8,-0.09,0.329,-0.404988955533333,-0.918769883333333,0.903333333333333,0.173333333333333
1981,9,0.174,0.263,-0.4069364301,-0.923492126666667,0.48,0.28
1981,10,0.101,0.192,-0.327515566766667,-0.615355887333333,0.26,0.653333333333333
1981,11,-0.039,0.248,0.157134343233333,-0.299145240666667,0.466666666666667,0.606666666666667
1981,12,-0.126,0.111,0.329880646666667,-0.161075044,0.55,0.54
1982,1,-0.258,-0.25,0.359158516666667,-0.22720301,0.603333333333333,0.286666666666667
1982,2,-0.125,-0.14,-0.184069173333333,-0.53494929,0.403333333333333,0.65
1982,3,0.1,0.455,-0.564699126666667,-0.670896743333333,0.243333333333333,1.01333333333333
1982,4,0.008,0.669,-0.855078566666667,-0.79166241,0.0666666666666667,1.3
1982,5,0.443,0.189,-0.894959713333333,-0.372529246666667,-0.193333333333333,1.39666666666667
1982,6,0.93,-0.024,-0.97060283,-0.1394097222,-0.516666666666667,1.63
1982,7,1.612,-0.026,-0.817096953333333,-0.105860488866667,-0.26,1.42666666666667
1982,8,1.778,-0.09,-0.638386033333333,-0.404988955533333,0.0633333333333333,0.903333333333333
1982,9,1.783,0.174,-0.509040683333333,-0.4069364301,0.603333333333333,0.48
1982,10,2.001,0.101,-0.64109296,-0.327515566766667,0.533333333333333,0.26
1982,11,2.394,-0.039,-0.777458466666667,0.157134343233333,0.32,0.466666666666667
1982,12,2.425,-0.126,-0.702422883333333,0.329880646666667,0.126666666666667,0.55
1983,1,2.677,-0.258,-0.165291813333333,0.359158516666667,0.19,0.603333333333333
1983,2,2.931,-0.125,0.281384766666667,-0.184069173333333,0.653333333333333,0.403333333333333
1983,3,3.008,0.1,0.502978513333333,-0.564699126666667,1.27,0.243333333333333
1983,4,2.812,0.008,0.0612550066666667,-0.855078566666667,1.70666666666667,0.0666666666666667
1983,5,2.498,0.443,-0.344720186666667,-0.894959713333333,1.92666666666667,-0.193333333333333
1983,6,2.235,0.93,-0.513789503,-0.97060283,2.01,-0.516666666666667
1983,7,1.793,1.612,-0.289830363,-0.817096953333333,2.55666666666667,-0.26
1983,8,1.159,1.778,-0.0451776336666667,-0.638386033333333,2.57333333333333,0.0633333333333333
1983,9,0.459,1.783,-0.156127114,-0.509040683333333,2.09,0.603333333333333
1983,10,0.024,2.001,-0.302296900666667,-0.64109296,1.24,0.533333333333333
1983,11,-0.132,2.394,-0.11195819,-0.777458466666667,0.963333333333333,0.32
1983,12,-0.17,2.425,-0.201320673333333,-0.702422883333333,1.22333333333333,0.126666666666667
1984,1,-0.314,2.677,-0.1106385,-0.165291813333333,1.40333333333333,0.19
1984,2,-0.509,2.931,-0.16404819,0.281384766666667,1.46666666666667,0.653333333333333
