Latitude,Longitude,State,Region,Area with GCF > 30%,Area with GCF > 35%,Area with GCF > 40%,Area (km^2)
48.363100,-119.348500,Washington,West,20.44,10.6,3.52,420.252008409
47.923200,-121.451700,Washington,West,0.03,0.03,0,733.111570667
47.434300,-123.504700,Washington,West,3.98,2.95,2.49,632.391386170
48.896600,-123.140900,Washington,West,13.13,0.45,0,9.93695978081
47.623200,-122.740900,Washington,West,57.65,9.56,5.57,326.908299350
48.659600,-123.306900,Washington,West,3.15,0.37,0,14.8688163065
47.305700,-118.893200,Washington,West,411.72,402.52,234.42,414.323645689
47.152000,-119.668000,Washington,West,394.21,394.21,2.34,413.398174201
47.045700,-120.181100,Washington,West,242.2,209.26,183.27,412.651877237
47.091800,-123.316900,Washington,West,296.29,49.06,12.26,413.185220582
47.106400,-122.469200,Washington,West,0,0,0,410.777770518
47.226700,-121.961900,Washington,West,21.61,10.47,4.84,413.809760290
47.054100,-121.027900,Washington,West,5.4,5.4,4.93,514.054380143
47.401400,-121.195100,Washington,West,1.31,1.25,1.22,807.325436579
47.569300,-120.421600,Washington,West,27.84,23.44,17.91,415.740934743
47.677400,-119.902200,Washington,West,353.56,267.21,94.24,416.367435892
47.833700,-119.117700,Washington,West,265.45,185.94,99.9,417.198486514
49.070800,-119.666400,Washington,West,0,0,0,45.7961308872
49.017300,-119.936500,Washington,West,0.76,0.6,0.23,257.907392659
48.795300,-121.895300,Washington,West,0.6,0.6,0.6,1147.43098054
48.257800,-119.878800,Washington,West,80.7,13.06,1.47,419.787811080
47.919000,-120.585600,Washington,West,0,0,0,999.034461114
47.745500,-122.227700,Washington,West,0,0,0,416.276584852
47.409100,-124.358900,Washington,West,149.81,147.78,136.95,159.827234871
47.817000,-124.303500,Washington,West,69.56,42.18,15.12,417.241658348
48.013600,-123.536100,Washington,West,0,0,0,896.912713286
48.141000,-123.020100,Washington,West,15.11,6.51,0,121.690573880
48.848100,-122.517200,Washington,West,13.16,2.76,0,393.249589671
48.326300,-122.239800,Washington,West,9.72,2.8,0.8,420.005695710
48.446100,-121.715400,Washington,West,0.93,0.24,0.11,420.797760454
48.610200,-120.040800,Washington,West,0,0,0,421.696483788
48.716700,-119.506000,Washington,West,22.46,3.08,0.46,422.450779060
48.870300,-118.698200,Washington,West,9.78,2.34,1,423.249592891
48.292200,-123.989100,Washington,West,1.33,0.48,0,2.23466547652
48.330000,-124.605200,Washington,West,102.01,100.01,71.65,239.531366051
47.134100,-123.913500,Washington,West,380.73,182.34,65.88,413.302978824
47.278600,-122.559000,Washington,West,4.53,0.3,0,245.020211331
47.217100,-122.812400,Washington,West,24.54,0,0,232.303606904
47.045200,-122.721700,Washington,West,0.03,0,0,374.314402944
47.458800,-121.793900,Washington,West,33.73,13.71,9.84,415.197127719
47.399500,-122.049700,Washington,West,25.92,2.65,0.27,414.797109445
49.022300,-122.611500,Washington,West,0,0,0,163.286502782
47.531500,-118.706700,Washington,West,413.72,413.72,403.56,415.664217040
47.481500,-118.967400,Washington,West,411.77,384.02,121.75,415.294008492
47.430800,-119.227400,Washington,West,398.46,353.77,46.72,414.923341241
47.355300,-118.633600,Washington,West,350.7,347.88,226.52,414.529602331
47.255200,-119.152200,Washington,West,388.71,127.3,0.14,413.971415771
47.129900,-118.819700,Washington,West,411.65,315.88,146.76,413.351024621
47.079800,-119.077600,Washington,West,396.61,202.24,0.05,412.976972178
47.379300,-119.486700,Washington,West,258.51,186.24,82,414.698781890
47.327000,-119.745400,Washington,West,331.96,273.16,95.99,414.509912017
