Designated,Designated Use,Line Name
No,All,81-213
No,All,81-213
No,All,81-213
No,All,81-213
No,All,81-213
No,All,81-213
No,All,81-213
No,All,81-213
No,All,81-213
No,All,81-213
No,All,81-213
No,All,81-213
No,All,81-213
No,All,81-213
No,All,81-213
No,All,81-213
No,All,81-213
No,All,81-213
No,All,81-213
No,All,81-213
Yes,All,81-213
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,89-271
No,All,115-208
No,All,115-208
No,All,115-208
No,All,115-208
No,All,115-208
No,All,115-208
No,All,115-208
No,All,115-208
No,All,115-208
No,All,115-208
No,All,115-208
No,All,115-208
No,All,115-208
No,All,115-238
No,All,115-238
No,All,115-238
No,All,115-238
No,All,115-238
No,All,115-238
No,All,115-238
No,All,115-238
No,All,115-238
No,All,115-238
No,All,115-238
No,All,115-238
No,All,115-238
No,All,115-238
No,All,115-238
No,All,115-238
No,All,115-238
No,All,115-238
No,All,115-238
No,All,115-238
Yes,All,115-238
No,Electric-only,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,27-225
Yes,All,27-225
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
Yes,All,115-238
No,All,234-235
No,All,234-235
Yes,All,27-225
Yes,All,27-225
Yes,All,27-225
No,All,27-41
No,All,27-41
No,All,27-41
Yes,All,27-41
Yes,All,27-41
Yes,All,27-41
Yes,All,27-41
Yes,All,27-41
Yes,All,27-41
Yes,All,27-41
Yes,All,27-41
Yes,All,27-41
Yes,All,27-41
Yes,All,27-41
Yes,All,41-46
Yes,All,27-41
Yes,All,27-41
Yes,All,27-41
Yes,All,30-52
Yes,All,27-41
Yes,All,27-41
Yes,All,27-41
Yes,All,27-41
Yes,All,27-41
Yes,All,41-46
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,All,30-52
Yes,Underground-only,41-46
Yes,All,41-46
No,All,41-46
Yes,All,41-46
Yes,All,41-46
Yes,All,41-46
Yes,All,41-46
Yes,All,41-46
Yes,All,41-46
Yes,Underground-only,41-46
Yes,Underground-only,41-46
Yes,Underground-only,41-46
Yes,Underground-only,41-46
Yes,All,41-47
Yes,All,41-47
Yes,All,41-47
Yes,All,41-47
Yes,All,41-47
Yes,All,41-47
Yes,All,46-270
Yes,All,46-270
Yes,All,46-270
Yes,All,46-270
Yes,All,46-270
Yes,All,46-270
Yes,All,46-270
Yes,All,46-270
Yes,All,46-269
Yes,All,46-269
Yes,All,46-269
Yes,All,46-269
Yes,All,46-269
Yes,All,46-269
Yes,All,46-269
Yes,All,46-269
Yes,All,46-269
Yes,All,46-269
Yes,All,46-269
Yes,All,46-269
Yes,All,46-269
Yes,Underground-only,46-269
Yes,Underground-only,46-269
Yes,Underground-only,46-269
Yes,All,46-270
Yes,All,46-270
Yes,All,46-270
Yes,All,46-270
Yes,All,46-270
Yes,All,46-270
Yes,All,46-270
Yes,Electric-only,47-231
Yes,Electric-only,47-231
Yes,Electric-only,47-231
Yes,Electric-only,47-231
Yes,Electric-only,47-231
Yes,Electric-only,47-231
Yes,Electric-only,47-231
Yes,Electric-only,47-231
Yes,Electric-only,47-231
Yes,Electric-only,47-231
Yes,Electric-only,47-231
Yes,Electric-only,47-231
Yes,Electric-only,47-231
Yes,Electric-only,47-231
Yes,Electric-only,47-231
Yes,All,47-68
No,All,61-207
No,All,61-207
No,All,61-207
No,All,61-207
No,All,61-207
No,All,61-207
No,All,61-207
No,All,61-207
No,All,61-207
Yes,All,61-207
Yes,All,61-207
Yes,All,61-207
Yes,All,61-207
Yes,All,61-207
Yes,All,61-207
Yes,All,61-207
Yes,All,62-211
Yes,All,62-211
Yes,All,62-211
No,All,130-131 (S)
No,Electric-only,130-131 (N)
No,Electric-only,130-131 (N)
No,Electric-only,130-131 (N)
No,Electric-only,130-131 (N)
No,Electric-only,130-131 (N)
No,Electric-only,130-131 (N)
No,All,130-131 (S)
No,All,130-131 (S)
No,All,78-255
No,All,130-131 (S)
No,All,130-274
No,All,131-134
No,All,131-134
No,All,130-274
No,All,130-274
No,All,130-274
No,All,130-274
Yes,All,130-274
Yes,All,130-274
Yes,All,130-274
Yes,All,130-274
No,All,131-134
No,Underground-only,130-274 (E)
No,Underground-only,130-274 (E)
No,Electric-only,134-139
No,Electric-only,134-139
No,All,136-139
Yes,All,130-274
Yes,All,130-274
Yes,All,130-274
No,All,132-136
No,All,132-136
No,All,132-136
No,All,132-136
No,All,132-136
No,All,132-136
No,All,132-136
No,All,132-136
No,All,132-136
No,All,132-136
No,All,132-136
Yes,All,132-136
Yes,All,132-136
Yes,All,132-136
Yes,All,132-136
No,All,136-139
No,All,136-277
No,All,136-277
No,All,136-277
No,All,136-277
No,All,136-277
No,All,136-277
No,Electric-only,139-277
No,Electric-only,139-277
No,Electric-only,139-277
No,Electric-only,139-277
No,Electric-only,139-277
No,Electric-only,139-277
No,Electric-only,139-277
No,Electric-only,139-277
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
Yes,All,130-274
Yes,All,132-136
Yes,All,132-136
Yes,All,132-136
Yes,All,132-136
Yes,All,132-136
Yes,All,132-136
Yes,All,132-136
Yes,All,132-136
Yes,All,132-136
Yes,All,132-136
Yes,All,132-136
No,All,134-136
No,All,134-136
No,All,134-136
No,All,134-136
No,All,134-136
No,All,134-136
No,All,134-136
No,All,134-136
No,All,134-136
No,All,134-136
No,All,134-136
No,Electric-only,134-139
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
Yes,All,80-273
Yes,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,78-255
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
No,All,80-273
Yes,All,80-273
Yes,All,80-273
Yes,All,80-273
Yes,All,80-273
Yes,All,80-273
Yes,All,80-273
Yes,All,80-273
No,All,87-277
No,All,87-277
Yes,All,87-277
Yes,All,87-277
Yes,All,87-277
Yes,All,87-277
Yes,All,87-277
Yes,All,87-277
Yes,All,87-277
Yes,All,87-277
Yes,All,87-277
Yes,All,87-277
Yes,All,87-277
Yes,All,87-277
Yes,All,87-277
Yes,All,87-277
Yes,All,87-277
Yes,All,87-277
Yes,All,87-277
Yes,All,87-277
Yes,All,87-277
No,All,144-275
No,All,78-255
No,All,78-255
No,All,78-255
No,All,144-275
No,All,144-275
No,All,144-275
No,All,144-275
No,All,144-275
No,All,144-275
No,All,144-275
