Buffer Distance,Comments,Designated,Designated Use,Name,Width (ft)
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,126-218,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,80-273,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,78-138,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,121-221,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,129-218,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,138-143,3500
0.00000000000,"Underground only, not designated, 3500' width",No,Underground-only,73-133,3500
0.00000000000,"Multimodal, designated, default 3500' width",Yes,All,130-274,3500
0.00000000000,"Electric only, not designated, default 3500' width",No,Electric-only,132-276,3500
0.00000000000,"Multimodal, designated, variable width",Yes,All,126-133,-1
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,55-240,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,79-216,3500
0.00000000000,"Underground only, not designated, variable width",No,Underground-only,132-133,-1
0.00000000000,"Underground only, designated, variable width",Yes,Underground-only,132-133,-1
0.00000000000,"Multimodal, not designated, variable width",No,All,66-212,-1
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,87-277,3500
0.00000000000,"Multimodal, designated, 5280' width",Yes,All,87-277,5280
0.00000000000,"Multimodal, designated, 1000' width",Yes,All,87-277,1000
0.00000000000,"Multimodal, designated, variable width",Yes,All,87-277,-1
0.00000000000,"Multimodal, designated, default 3500' width",Yes,All,80-273,3500
0.00000000000,"Underground only, not designated, 1500' width",No,Underground-only,218-240,1500
0.00000000000,"Multimodal, designated, 10560' width",Yes,All,15-17,1056
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,126-218,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,218-240,3500
0.00000000000,"Multimodal, designated, 15840' width",Yes,All,44-239,1584
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,218-240,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,126-218,3500
0.00000000000,"Multimodal, designated, 5280' width",Yes,All,87-277,5280
0.00000000000,"Multimodal, designated, 5280' width",Yes,All,87-277,5280
0.00000000000,"Underground only, not designated, 3500' width",No,Underground-only,126-218,3500
0.00000000000,"Underground only, designated, 5280' width",Yes,Underground-only,132-133,5280
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,131-134,3500
0.00000000000,"Electric only, not designated, default 3500' width",No,Electric-only,219-220,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,132-276,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,126-133,3500
0.00000000000,"Multimodal, not designated, 1000' width",No,All,29-36,1000
0.00000000000,"Multimodal, not designated, variable width",No,All,66-259,-1
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,24-228,3500
0.00000000000,"Multimodal, designated, default 3500' width",Yes,All,8-104,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,116-206,3500
0.00000000000,"Multimodal, not designated, 500' width",No,All,39-231,500
0.00000000000,"Underground only, not designated, 3500' width",No,Underground-only,132-133,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,132-136,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,136-139,3500
0.00000000000,"Underground only, designated, 5280' width",Yes,Underground-only,46-269,5280
0.00000000000,"Electric only, not designated, default 3500' width",No,Electric-only,139-277,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,73-129,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,126-133,3500
0.00000000000,"Multimodal, not designated, 10560' width",No,All,115-238,1056
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,73-138,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,130-131 (S),3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,129-221,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,81-272,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,144-275,3500
0.00000000000,"Electric only, not designated, default 3500' width",No,Electric-only,134-139,3500
0.00000000000,"Multimodal, designated, default 3500' width",Yes,All,133-142,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,121-240,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,3-8,3500
0.00000000000,"Multimodal,  not designated, 1320' width",No,All,18-23,1320
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,6-15,3500
0.00000000000,"Underground only, not designated, 3500' width",No,Underground-only,132-133,3500
0.00000000000,"Multimodal, designated, default 3500' width",Yes,All,144-275,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,66-212,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,116-206,3500
0.00000000000,"Multimodal, designated, 2640' width",Yes,All,44-110,2640
0.00000000000,"Underground only, designated, default 3500' width",Yes,Underground-only,73-133,3500
