Category,Name,Airport,Location,Type,Elevation (ft),Range (mi)
AIRPORT SURVEILLANCE RADAR,ITO,HILO INTERNATIONAL AIRPORT,"HILO, HAWAII",,35.5,60.0000000000
AIRPORT SURVEILLANCE RADAR,OGG,KAHULUI AIRPORT,"Maui, HI",ASR-11,136.91,60.0000000000
AIRPORT SURVEILLANCE RADAR,HNL,HONOLULU INTERNATIONAL AIRPORT,"Honolulu, HI",ASR-9,69.15,60.0000000000
AIRPORT SURVEILLANCE RADAR,NGF,Marine Corps Air Station Kaneohe Bay,"Kaneohe Bay, HI",ASR-11,386.9,60.0000000000
AIRPORT SURVEILLANCE RADAR,MIA,MIAMI INTERNATIONAL AIRPORT,"MIAMI, FLORIDA",,10.0,60.0000000000
AIRPORT SURVEILLANCE RADAR,FLL,FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT,"FORT LAUDERDALE, FLORIDA",,7.0,60.0000000000
AIRPORT SURVEILLANCE RADAR,HRL,VALLEY INTERNATIONAL AIRPORT,"Harlingen, TX",ASR-9,103.4,60.0000000000
AIRPORT SURVEILLANCE RADAR,RSW,SOUTHWEST FLORIDA INTERNATIONAL AIRP0RT,"FORT MYERS, FLORIDA",,20.0,60.0000000000
AIRPORT SURVEILLANCE RADAR,PBI,PALM BEACH INTERNATIONAL AIRPORT,"WEST PALM BEACH, FLORIDA",,12.6,60.0000000000
AIRPORT SURVEILLANCE RADAR,SRQ,SARASOTA/BRADENTON INTERNATIONAL AIRPORT,"SARASOTA (BRADENTON), FLORIDA",,20.0,60.0000000000
AIRPORT SURVEILLANCE RADAR,CRP,CORPUS CHRISTI INTERNATIONAL AIRPORT,"CORPUS CHRISTI, TEXAS",,33.4,60.0000000000
AIRPORT SURVEILLANCE RADAR,TPA,TAMPA INTERNATIONAL AIRPORT,"TAMPA, FLORIDA",,17.6,60.0000000000
AIRPORT SURVEILLANCE RADAR,MCO,ORLANDO INTERNATIONAL AIRPORT,"Orlando Intl, FL",ASR-9,151.3,60.0000000000
AIRPORT SURVEILLANCE RADAR,DAB,DAYTONA BEACH INTERNATIONAL AIRPORT,"DAYTONA BEACH, FLORIDA",,40.0,60.0000000000
AIRPORT SURVEILLANCE RADAR,GNV,GAINESVILLE REGIONAL AIRPORT,"GAINESVILLE, FLORIDA",,150.0,60.0000000000
AIRPORT SURVEILLANCE RADAR,SAT,SAN ANTONIO INTERNATIONAL AIRPORT,"SAN ANTONIO, TEXAS",,865.0,60.0000000000
AIRPORT SURVEILLANCE RADAR,BPT,SOUTHEAST TEXAS REGIONAL AIRPORT,"BEAUMONT-PORT ARTHUR, TEXAS",,10.2,60.0000000000
AIRPORT SURVEILLANCE RADAR,MSY,NEW ORLEANS INTERNATIONAL (MOISANT FIELD) AIRPORT,"NEW ORLEANS, LOUISIANA",,-2.7,60.0000000000
AIRPORT SURVEILLANCE RADAR,IAH,HOUSTON INTERCONTINENTAL AIRPORT,"HOUSTON, TEXAS",,90.0,60.0000000000
