Name,Type,City,County,State,FAA Region,Site No.,Control Tower,Facility Use,Owner Type,Latitude,Longitude
KAALAIKI AIRSTRIP,AIRPORT,NAALEHU,HAWAII,HI,AWP,52462.2*A,N,PR,PR,19.1228244444,-155.5780502778
PAHALA AIRSTRIP,AIRPORT,PAHALA,HAWAII,HI,AWP,52500.*A,N,PR,PR,19.2161525000,-155.4686066667
UPPER PAAUAU,AIRPORT,PAHALA,HAWAII,HI,AWP,52500.1*A,N,PR,PR,19.2275400000,-155.5094394444
RAINSHED,HELIPORT,VOLCANO VILLAGE,HAWAII,HI,AWP,52584.*H,N,PR,PU,19.4330866667,-155.2597230556
MOUNTAIN VIEW AIRSTRIP,AIRPORT,MOUNTAIN VIEW,HAWAII,HI,AWP,52435.*A,N,PR,PR,19.5475261111,-155.1083383333
HILO MEDICAL CENTER,HELIPORT,HILO,HAWAII,HI,AWP,52095.01*H,N,PR,PR,19.7025169444,-155.1250083333
HILO INTL,AIRPORT,HILO,HAWAII,HI,AWP,52095.*A,Y,PU,PU,19.7202630000,-155.0484701389
KONA INTL AT KEAHOLE,AIRPORT,KAILUA/KONA,HAWAII,HI,AWP,52250.2*A,Y,PU,PU,19.7387658333,-156.0456313889
BRADSHAW ARMY AIRFIELD,AIRPORT,CAMP POHAKULOA,HAWAII,HI,AWP,52550.1*A,Y,PR,MR,19.7600133889,-155.5537661944
KAUPULEHU,HELIPORT,KAILUA/KONA,HAWAII,HI,AWP,52250.1*H,N,PR,PR,19.8325122222,-155.9816586111
LUCY HENRIQUES MEDICAL CENTER,HELIPORT,KAMUELA,HAWAII,HI,AWP,52276.1*H,N,PR,PR,19.8658386111,-155.6472233333
WAIKOLOA,HELIPORT,WAIKOLOA VILLAGE,HAWAII,HI,AWP,52589.1*H,N,PR,PR,19.9136163889,-155.8638838889
WAIMEA-KOHALA,AIRPORT,KAMUELA,HAWAII,HI,AWP,52276.*A,N,PU,PU,20.0013269444,-155.6681072222
UPPER PAAUILO AIRSTRIP,AIRPORT,PAAUILO,HAWAII,HI,AWP,52499.*A,N,PR,PR,20.0283283333,-155.3880569444
HONOKAA AIRSTRIP,AIRPORT,HONOKAA,HAWAII,HI,AWP,52149.*A,N,PR,PR,20.0836033333,-155.5022222222
UPOLU,AIRPORT,HAWI,HAWAII,HI,AWP,52090.*A,N,PU,PU,20.2651944444,-155.8599444444
LANAI,AIRPORT,LANAI CITY,MAUI,HI,AWP,52402.*A,N,PU,PU,20.7856111111,-156.9514180556
HANA,AIRPORT,HANA,MAUI,HI,AWP,52061.*A,N,PU,PU,20.7956371667,-156.0144378889
KAHULUI,AIRPORT,KAHULUI,MAUI,HI,AWP,52240.*A,Y,PU,PU,20.8986497222,-156.4304578611
HYATT REGENCY MAUI HOTEL,HELIPORT,LAHAINA,MAUI,HI,AWP,52390.1*H,N,PR,PR,20.9118272222,-156.6927383333
KAPALUA,AIRPORT,LAHAINA,MAUI,HI,AWP,52390.*A,N,PR,PU,20.9629363889,-156.6730316667
KAWELA FARM,HELIPORT,KAUNAKAKAI,MAUI,HI,AWP,52294.02*H,N,PR,PR,21.0827777778,-156.9736111111
BRANDT FIELD,AIRPORT,KAUNAKAKAI,MAUI,HI,AWP,52294.03*A,N,PR,PR,21.1370000000,-156.7344444444
PANDA,AIRPORT,KAUNAKAKAI,MAUI,HI,AWP,52294.01*A,N,PR,PR,21.1479316667,-157.2585725000
MOLOKAI,AIRPORT,KAUNAKAKAI,MAUI,HI,AWP,52294.*A,Y,PU,PU,21.1528858333,-157.0962561111
KALAUPAPA,AIRPORT,KALAUPAPA,KALAWAO,HI,AWP,52271.*A,N,PU,PU,21.2110402778,-156.9735972222
KALAELOA (JOHN RODGERS FIELD),AIRPORT,KAPOLEI,HONOLULU,HI,AWP,52282.*A,Y,PU,PU,21.3073538889,-158.0703016667
THE QUEEN'S MEDICAL CENTER,HELIPORT,HONOLULU,HONOLULU,HI,AWP,52161.41*H,N,PR,PR,21.3091686111,-157.8529797222
KUAKINI MEDICAL CENTER,HELIPORT,HONOLULU,HONOLULU,HI,AWP,52161.2*H,N,PR,PR,21.3135016667,-157.8472569444
HONOLULU INTL,AIRPORT,HONOLULU,HONOLULU,HI,AWP,52161.*A,Y,PU,PU,21.3186812778,-157.9224286667
K3 HELIPAD,HELIPORT,PEARL HARBOR,HONOLULU,HI,AWP,52514.*H,N,PR,MN,21.3620277778,-157.9507222222
MOANALUA MEDICAL CENTER,HELIPORT,HONOLULU,HONOLULU,HI,AWP,52161.42*H,N,PR,PR,21.3640555556,-157.8991988889
HECO-WAIAU,HELIPORT,HONOLULU,HONOLULU,HI,AWP,52161.1*H,N,PR,PR,21.3908333333,-157.9647222222
KANEOHE BAY MCAS (MARION E. CARL FIELD),AIRPORT,KANEOHE,HONOLULU,HI,AWP,52278.*A,Y,PR,MN,21.4504533333,-157.7680000000
WHEELER AAF,AIRPORT,WAHIAWA,HONOLULU,HI,AWP,52587.*A,Y,PR,MR,21.4847222222,-158.0397222222
KUALOA RANCH,HELIPORT,HONOLULU,HONOLULU,HI,AWP,52161.43*H,N,PR,PR,21.5218233333,-157.8389188889
KAENA POINT SATELLITE TRACKING STATION,HELIPORT,WAIANAE,HONOLULU,HI,AWP,52588.*H,N,PR,MA,21.5621222222,-158.2412888889
TAILWINDS,AIRPORT,JUPITER,MARTIN,FL,ASO,03258.75*A,N,PR,PR,26.9795000000,-80.2186566667
DILLINGHAM AIRFIELD,AIRPORT,MOKULEIA,HONOLULU,HI,AWP,52430.*A,N,PU,MR,21.5794736111,-158.1972813889
KAHUKU FIRE & POLICE STATION,HELIPORT,KAHUKU,HONOLULU,HI,AWP,52238.*H,N,PR,PU,21.6751513889,-157.9469694444
KAHUKU HOSPITAL,HELIPORT,KAHUKU,HONOLULU,HI,AWP,52238.01*H,N,PR,PR,21.6762627778,-157.9539141667
TURTLE BAY RESORT,HELIPORT,KAHUKU,HAWAII,HI,AWP,52238.02*H,N,PR,PR,21.7048700000,-158.0055791667
PORT ALLEN,AIRPORT,HANAPEPE,KAUAI,HI,AWP,52080.*A,N,PU,PU,21.8969444444,-159.6031666667
HAIKU AIRSTRIP,AIRPORT,PUHI,KAUAI,HI,AWP,52560.*A,N,PR,PR,21.9424213889,-159.4402605556
HI 23 AIRSTRIP,AIRPORT,PUHI,KAUAI,HI,AWP,52560.01*A,N,PR,PR,21.9657525000,-159.4272038889
LIHUE,AIRPORT,LIHUE,KAUAI,HI,AWP,52420.*A,Y,PU,PU,21.9759830278,-159.3389579722
BARKING SANDS PMRF,AIRPORT,"KEKAHA,KAUAI",KAUAI,HI,AWP,52302.1*A,Y,PR,MN,22.0227744444,-159.7850588889
HANAMAULU AIRSTRIP,AIRPORT,HANAMAULU,KAUAI,HI,AWP,52068.*A,N,PR,PR,22.0412783333,-159.3897027778
KALALAU BEACH,HELIPORT,HAENA,KAUAI,HI,AWP,52040.*H,N,PR,PU,22.1745966667,-159.6555350000
PRINCEVILLE,AIRPORT,HANALEI,KAUAI,HI,AWP,52066.3*A,N,PR,PR,22.2091900000,-159.4455338889
KEY WEST INTL,AIRPORT,KEY WEST,MONROE,FL,ASO,03263.*A,Y,PU,PU,24.5561111111,-81.7595555556
KEY WEST NAS /BOCA CHICA FIELD/,AIRPORT,KEY WEST,MONROE,FL,ASO,03264.*A,Y,PR,MN,24.5757013889,-81.6888333333
FLORIDA KEYS MEMORIAL HOSPITAL,HELIPORT,KEY WEST,MONROE,FL,ASO,03262.21*H,N,PR,PR,24.5837566667,-81.7442569444
SUGAR LOAF SHORES,AIRPORT,KEY WEST,MONROE,FL,ASO,03263.2*A,N,PR,PR,24.6487544444,-81.5798083333
SUMMERLAND KEY COVE,AIRPORT,SUMMERLAND KEY,MONROE,FL,ASO,03507.5*A,N,PR,PR,24.6587544444,-81.4414713889
FISHERMEN'S HOSPITAL EMERGENCY HELISTOP,HELIPORT,MARATHON,MONROE,FL,ASO,03314.03*H,N,PR,PR,24.7104191667,-81.0945177778
THE FLORIDA KEYS MARATHON,AIRPORT,MARATHON,MONROE,FL,ASO,03314.*A,N,PU,PU,24.7261944444,-81.0513611111
ADVENTURE ISLAND,HELIPORT,MARATHON,MONROE,FL,ASO,03314.02*H,N,PR,PR,24.7343069444,-81.0186827778
HOLIDAY ISLE,SEAPLANE BASE,ISLAMORADA,MONROE,FL,ASO,03249.5*C,N,PR,PR,24.9348544444,-80.6008952778
PLANTATION KEY,SEAPLANE BASE,MARATHON,MONROE,FL,ASO,03314.04*C,N,PR,PR,24.9712419444,-80.5956177778
MARINERS HOSPITAL,HELIPORT,TAVERNIER,MONROE,FL,ASO,03526.01*H,N,PR,PR,25.0045555556,-80.5247805556
TAVERNAERO PARK,AIRPORT,TAVERNIER,MONROE,FL,ASO,03526.*A,N,PR,PR,25.0087408333,-80.5331166667
OCEAN REEF CLUB,AIRPORT,KEY LARGO,MONROE,FL,ASO,03260.8*A,N,PR,PR,25.3253930556,-80.2747747222
MOTORSPORTS COMPLEX VIP,HELIPORT,HOMESTEAD,DADE,FL,ASO,03242.24*H,N,PR,PU,25.4486111111,-80.4100000000
MOTORSPORTS COMPLEX EMS,HELIPORT,HOMESTEAD,DADE,FL,ASO,03242.25*H,N,PR,PU,25.4536111111,-80.4113888889
HOMESTEAD ARB,AIRPORT,HOMESTEAD,DADE,FL,ASO,03242.*A,Y,PR,MA,25.4885500000,-80.3835666667
HOMESTEAD GENERAL AVIATION,AIRPORT,HOMESTEAD,DADE,FL,ASO,03242.1*A,N,PU,PU,25.4992306389,-80.5542445000
THE WRIGHT PLACE,AIRPORT,HOMESTEAD,DADE,FL,ASO,03242.26*A,N,PR,PR,25.5152527778,-80.5135000000
MAC'S FIELD,AIRPORT,HOMESTEAD,DADE,FL,ASO,03242.3*A,N,PR,PR,25.5464972222,-80.4656116667
MJD,AIRPORT,MIAMI,DADE,FL,ASO,03324.*A,N,PR,PR,25.5545527778,-80.5539472222
RICHARDS FIELD,AIRPORT,HOMESTEAD,DADE,FL,ASO,03242.8*A,N,PR,PR,25.5587191667,-80.5150572222
SOUTH DADE COMMUNITY HEALTH CENTER,HELIPORT,HOMESTEAD,DADE,FL,ASO,03242.23*H,N,PR,PU,25.5659402778,-80.3506088889
BURRS STRIP,AIRPORT,MIAMI,DADE,FL,ASO,03326.1*A,N,PR,PR,25.5701069444,-80.3997766667
B & L FARMS,AIRPORT,HOMESTEAD,DADE,FL,ASO,03243.2*A,N,PR,PR,25.5837180556,-80.4997791667
LINDBERGH'S LANDING,AIRPORT,MIAMI,DADE,FL,ASO,03325.15*A,N,PR,PR,25.6195277778,-80.4886666667
