Management,Type,Acres,District,Field Office,Name,Lease Status
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),42.7365749311,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),599.718277110,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),186.372776398,Spokane,Wenatchee,Cowiche Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),16.9104189089,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),39.0504467502,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),463.290579291,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),389.998702393,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),126.947583144,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),36.3970845845,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),101.571055498,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),4.29971771413,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),194.302413792,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),541.756426634,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),41.3456003116,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),37.2816947629,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),52.5509697880,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),20.7490700023,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),92.5702817652,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),707.352900058,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),5.31431681940,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),204.825234479,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
