Management,Type,Acres,District,Name,Organization
National Forest Service,Wilderness Area,101160.17297900000,Tonopah Ranger District,Humboldt-Toiyabe National Forest,Arc Dome Wilderness
National Forest Service,Wilderness Area,13046.93622500000,Prairie City Ranger District,Malheur National Forest,Monument Rock Wilderness
National Forest Service,Wilderness Area,178770.81429099999,Pomeroy Ranger District,Umatilla National Forest,Wenaha-Tucannon Wilderness
National Forest Service,Wild and Scenic River,6569.21985492232,Hells Canyon NRA,Wallowa-Whitman National Forest,
National Forest Service,Wild and Scenic River,18895.27514708467,Prairie City Ranger District,Malheur National Forest,
National Forest Service,Wild and Scenic River,52.78675063564,Salmon River Ranger District,Nez Perce National Forest,
National Forest Service,Wild and Scenic River,5129.09919399681,Walla Walla Ranger District,Umatilla National Forest,
National Forest Service,Wild and Scenic River,42417.31140331498,Eagle Cap Ranger District,Wallowa-Whitman National Forest,
National Forest Service,Wild and Scenic River,46640.66310013636,Hells Canyon NRA,Wallowa-Whitman National Forest,
National Forest Service,Wild and Scenic River,2024.91187923392,La Grande Ranger District,Wallowa-Whitman National Forest,
National Forest Service,Wild and Scenic River,9496.21737018994,Wallowa Valley Ranger District,Wallowa-Whitman National Forest,
National Forest Service,Wild and Scenic River,21443.31529867849,Whitman Ranger District,Wallowa-Whitman National Forest,
National Forest Service,National Recreation Area,279.80253705300,Wallowa Valley Ranger District,Wallowa-Whitman National Forest,
National Forest Service,Wilderness Area,137489.02116000000,Hells Canyon NRA,Wallowa-Whitman National Forest,Hells Canyon Wilderness
National Forest Service,Wilderness Area,3130.17750895000,La Grande Ranger District,Wallowa-Whitman National Forest,Eagle Cap Wilderness
National Forest Service,Wilderness Area,636.38892396600,Whitman Ranger District,Wallowa-Whitman National Forest,Eagle Cap Wilderness
National Forest Service,National Recreation Area,115673.77287000000,Salmon River Ranger District,Nez Perce National Forest,
National Forest Service,National Recreation Area,17687.10319080000,Council Ranger District,Payette National Forest,
National Forest Service,National Recreation Area,11972.37460590000,New Meadows Ranger District,Payette National Forest,
National Forest Service,National Recreation Area,4101.28252751000,Hells Canyon NRA,Wallowa-Whitman National Forest,
National Forest Service,National Recreation Area,55.61505979750,Salmon River Ranger District,Nez Perce National Forest,
National Forest Service,National Recreation Area,0.00021785586,Council Ranger District,Payette National Forest,
