OPD ID,OCS Block,OCS Block Label
NF17-01,151,151
NF17-01,152,152
NF17-01,98,98
NF17-01,99,99
NF17-01,100,100
NF17-01,101,101
NF17-01,102,102
NF17-01,103,103
NF17-01,104,104
NF17-01,105,105
NF17-01,106,106
NF17-01,107,107
NF17-01,108,108
NF17-01,49,49
NF17-01,50,50
NF17-01,51,51
NF17-01,52,52
NF17-01,53,53
NF17-01,54,54
NF17-01,55,55
NF17-01,56,56
NF17-01,57,57
NF17-01,58,58
NF17-01,59,59
NF17-01,60,60
NF17-01,61,61
NF17-01,62,62
NF17-01,63,63
NF17-01,64,64
NF17-01,2,2
NF17-01,3,3
NF17-01,4,4
NF17-01,5,5
NF17-01,6,6
NF17-01,7,7
NF17-01,8,8
NF17-01,9,9
NF17-01,10,10
NF17-01,11,11
NF17-01,12,12
NF17-01,13,13
NF17-01,14,14
NF17-01,15,15
NF17-01,16,16
NF17-01,17,17
NF17-01,18,18
NF17-01,19,19
NF17-01,20,20
NG16-12,1011,1011
NG16-12,1010,1010
NG16-12,1009,1009
NG17-10,969,969
NG17-10,970,970
NG17-10,971,971
NG17-10,972,972
NG17-10,973,973
NG17-10,974,974
NG17-10,975,975
NG17-10,976,976
NG17-10,977,977
NG17-10,978,978
NG17-10,979,979
NG17-10,980,980
NG17-10,981,981
NG17-10,982,982
NG17-10,983,983
NG17-10,984,984
NG17-10,985,985
NG17-10,986,986
NG17-10,987,987
NG17-10,988,988
NG16-12,967,967
NG16-12,966,966
NG16-12,965,965
NG16-12,964,964
NG17-10,925,925
NG16-12,963,963
NG17-10,926,926
NG16-12,962,962
NG17-10,927,927
NG17-10,928,928
NG17-10,929,929
NG17-10,930,930
NG17-10,931,931
NG17-10,932,932
NG17-10,933,933
NG17-10,934,934
NG17-10,935,935
NG17-10,936,936
NG17-10,937,937
NG17-10,938,938
NG17-10,939,939
NG17-10,940,940
NG17-10,941,941
NG17-10,942,942
NG17-10,943,943
NG17-10,944,944
NG16-12,923,923
NG16-12,922,922
NG16-12,921,921
NG16-12,920,920
NG17-10,881,881
NG16-12,919,919
NG17-10,882,882
NG16-12,918,918
NG17-10,883,883
NG16-12,917,917
