Program,Site Name,City,State,Latitude,Longitude
Brownfield,323-190-74,Poway,CA,32.95632,-117.02736
Brownfield,3093 7th Street,Riverside,CA,33.98,-117.367
Brownfield,Exxon/Nella Oil Co.,West Sacramento,CA,38.58091,-121.52674
Brownfield,Couch,Denver,CO,39.76249,-104.91945
Brownfield,Commspec Building,Moline,IL,41.482937,-90.50497
Brownfield,Former Newman School,Newman,IL,39.80158,-87.98472
Brownfield,S&W Chemical,Hickory,NC,35.72959,-81.366361
Brownfield,Hunts Sohio,Elmore,OH,41.476069,-83.294283
Brownfield,801 Beach,Fort Worth,TX,32.75615,-97.28855
Federal Superfund,BRANDYWINE DRMO,BRANDYWINE,MD,38.69805,-76.845
Non-Federal Superfund,VALLEY PARK TCE,VALLEY PARK,MO,38.55278,-90.46666
Non-Federal Superfund,PEPE FIELD,BOONTON,NJ,40.91221,-74.41193
Non-Federal Superfund,SIKES DISPOSAL PITS,CROSBY,TX,29.88166,-95.08666
RCRA,Gatx Rail,Colton,CA,34.065338,-117.3507
RCRA,P&W-Main St,East Hartford,CT,41.750218,-72.639371
RCRA,Clean Harbors,Chicago,IL,41.695344,-87.574226
RCRA,"Detd, Llc",Plymouth,MI,42.363643,-83.456436
RCRA,Nashua Label Corporation,Omaha,NE,41.223156,-96.082473
RCRA,Fmc Corporation,Middleport,NY,43.207167,-78.468875
RCRA,Oakes Foundry Inc,Warren,OH,41.258333,-80.8
RCRA,Kaiser Aluminum,Erie,PA,42.131457,-80.059533
RCRA,Mpm Inc,Frederic,WI,45.653577,-92.466936
Abandoned Mine Land,USDOI BLM RED TOP MINE,ALEKNAGIK,AK,59.283,-157.4
Abandoned Mine Land,MOUNTAIN TOP MINE,ANIAK,AK,61.383,-157.95
Abandoned Mine Land,USDOI NPS DENALI NP:BANJO MINE,DENALI NATIONAL PARK,AK,63.553,-149.137
Abandoned Mine Land,USDOI NPS DENALI NP:STAMPEDE CREEK MINE,DENALI NATIONAL PARK,AK,63.718,-149.6
Abandoned Mine Land,TREADWELL MINES,DOUGLAS,AK,58.264,-133.624
Abandoned Mine Land,USDOI NPS WRANGELL ST ELIAS NP&P:NABESNA MINE,GLENNALLEN,AK,62.35,-143
Abandoned Mine Land,USDA FS TONGASS NF: BOKAN MOUNTAIN MINE AKA ROSS ADAMS MINE,HYDABURG,AK,54.909,-132.14
Abandoned Mine Land,THANE MINE DUMP,JUNEAU,AK,58.203,-133.592
Abandoned Mine Land,CINNABAR CREEK MINE AKA ALASKA ST OF CINNABAR CREEK,KASHEGELOK,AK,60.791,-158.857
Abandoned Mine Land,USDA FS TONGASS NF: MAHONEY MINE,KETCHIKAN,AK,55.254,-131.303
Abandoned Mine Land,USDA FS TONGASS NF: SEALEVEL MINE,KETCHIKAN,AK,55.222,-131.116
Abandoned Mine Land,USDOI BLM RED DEVIL MINE WASTE PONDS,RED DEVIL,AK,61.764,-156.689
Abandoned Mine Land,USDOI NPS KENAI FJORDS NP&P:BEAUTY BAY MINE,SEWARD,AK,59.55,-150.667
Abandoned Mine Land,KLAG BAY SITE,SITKA,AK,57.662,-135.918
Abandoned Mine Land,NABESNA MINE,SLANA,AK,62.372,-142.995
Abandoned Mine Land,USDA FS TONGASS NF:SALT CHUCK MINE,THORNE BAY,AK,55.627,-132.557
Abandoned Mine Land,USDA FS CHUGACH NF:GRANITE MINE NR PORT WELLS BAY,WHITTIER,AK,60.972,-147.79
Abandoned Mine Land,MAGOBAR MINE,MALVERN,AR,34.475,-91.183
Abandoned Mine Land,PHELPS DODGE CORP NEW CORNELIA BRANCH,AJO,AZ,32.38,-111.161
Abandoned Mine Land,A & B NO. 3 MINE,CAMERON,AZ,35.88,-110.568
Abandoned Mine Land,BOYD TISI NO. 2 MINE,CAMERON,AZ,35.886,-110.622
Abandoned Mine Land,CAMERON AGGREGATED URANIUM MINES,CAMERON,AZ,35.875,-110.587
Abandoned Mine Land,HUSKON NO. 26 MINE,CAMERON,AZ,35.759,-110.669
Abandoned Mine Land,YAZZIE NO. 1 MINE,CAMERON,AZ,35.724,-110.693
Abandoned Mine Land,ARITMECO - EMERALD ISLE MINE,CHLORIDE,AZ,35.415,-113.8
Abandoned Mine Land,PHELPS DODGE VERDE MINE,CLARKDALE,AZ,34.784,-111.946
Abandoned Mine Land,ABANDONED COPPER MINE,FREDONIA,AZ,36.628,-110.551
Abandoned Mine Land,ANAMAX MINING CO TWIN BUTTESMINE,GREEN VALLEY,AZ,31.908,-110.966
Abandoned Mine Land,ASARCO INC HAYDEN PLT,HAYDEN,AZ,33.001,-109.231
Abandoned Mine Land,HUMBOLDT SMELTER,HUMBOLDT,AZ,34.492,-112.229
Abandoned Mine Land,IRON KING MINE - HUMBOLDT SMELTER,HUMBOLDT,AZ,34.503,-111.763
Abandoned Mine Land,AMERICAN LEGION MINE,KINGMAN,AZ,35.192,-113.938
Abandoned Mine Land,GIBSON MINE,MIAMI,AZ,33.329,-109.059
Abandoned Mine Land,ORACLE RIDGE MINE,ORACLE,AZ,32.608,-109.237
Abandoned Mine Land,THREE R MINE,PATAGONIA,AZ,34.547,-111.528
Abandoned Mine Land,WORLD'S FAIR MINE,PATAGONIA,AZ,31.543,-109.247
Abandoned Mine Land,SHUMWAY MILLSITES,PAYSON,AZ,34.232,-110.663
Abandoned Mine Land,THORNE MILLSITE,PAYSON,AZ,33.438,-110.148
