Hub Height (m),Wind Speed (m/s)
120,7.82
120,7.85
120,7.81
120,7.86
120,7.77
120,7.85
120,7.87
120,7.84
120,7.89
120,7.8
120,7.35
120,7.34
120,7.94
120,7.74
120,7.92
120,7.91
120,7.92
120,7.92
120,7.81
120,7.81
120,7.92
120,7.76
120,7.87
120,7.97
120,7.43
120,7.39
120,7.18
120,7.68
120,7.91
120,7.98
120,7.19
120,7.25
120,7.85
120,7.24
120,7.28
120,7.8
120,7.88
120,7.94
120,7.22
120,7.32
120,7.28
120,7.28
120,7.79
120,7.82
120,7.3
120,7.34
120,7.77
120,7.79
120,7.47
120,7.25
120,7.29
120,7.23
120,7.55
120,7.32
120,7.25
120,7.31
120,7.22
120,7.55
120,7.43
120,7.25
120,7.24
120,7.28
120,7.49
120,7.2
120,7.27
120,7.39
120,7.44
120,7.49
120,7.29
120,7.23
120,7.42
120,7.48
120,7.22
120,7.27
120,7.21
120,7.23
120,7.27
120,7.39
120,7.24
120,7.3
120,7.38
120,7.39
120,7.19
120,7.18
120,7.2
120,7.27
120,7.42
120,7.32
120,7.36
120,7.19
120,7.46
120,7.33
120,7.26
120,7.39
120,7.44
120,7.41
120,7.19
120,6.77
120,6.71
120,6.72
120,7.31
120,7.41
120,7.26
120,7.57
120,7.32
120,7.41
120,7.68
120,6.7
120,7.2
120,7.63
120,7.22
120,7.79
120,7.34
120,7.37
120,7.25
120,7.5
120,7.38
120,7.42
120,7.53
120,7.22
120,7.31
120,7.24
120,7.78
120,7.34
120,6.77
120,6.72
120,6.66
120,7.28
120,7.66
120,7.57
120,7.73
120,7.25
120,7.33
120,7.37
120,7.29
120,7.95
120,6.84
120,6.83
120,6.69
120,7.3
120,7.45
120,7.71
120,6.96
120,7.37
120,8
120,7.31
120,7.29
120,6.69
120,6.68
120,7.71
120,7.68
120,7.59
120,7.72
120,6.73
120,7.24
120,7.99
120,8.02
120,7.18
120,7.36
120,7.03
120,7.09
120,6.72
120,6.68
120,6.89
120,7.2
120,7.29
120,7.29
120,7.7
120,7.26
120,6.89
120,7.43
120,7.82
120,8.04
120,8.03
120,7.67
120,7.9
120,7.26
120,6.67
120,6.66
120,6.69
120,6.84
120,7.25
120,7.23
120,7.49
120,7.26
120,7.28
120,7.26
120,7.64
120,7.78
120,7.61
120,7.3
120,7.52
120,6.78
120,7.15
120,7.14
120,6.94
120,6.68
120,7.21
120,7.21
120,7.2
120,7.39
120,7.49
120,7.27
120,7.14
120,6.83
120,7.97
120,7.97
120,7.99
120,7.98
120,6.74
120,6.9
120,6.67
120,6.75
120,7.45
120,7.46
120,7.31
120,7.24
120,7.12
120,6.93
120,7.24
120,6.78
120,6.95
120,7.15
120,7.77
120,7.86
120,7.95
120,7.99
120,7.53
120,7.54
120,7.3
120,7.08
120,6.83
120,7.21
120,7.22
120,7.16
120,6.68
120,6.67
120,7.36
120,7.59
120,7.29
120,6.82
120,7
120,7.07
120,6.3
120,7.18
120,7.36
120,7.46
120,7.97
120,6.89
120,7.26
120,7.27
120,7.21
120,6.67
120,7.25
120,7.55
120,7.62
120,7.43
120,7.48
120,7.11
120,7.51
120,7.47
120,7.01
120,7
120,7.12
120,7.16
120,7.24
120,6.37
120,6.15
120,6.66
120,6.67
120,6.7
120,6.79
120,7.3
120,7.29
120,7.38
120,7.39
120,7.44
120,6.8
120,6.88
120,6.84
120,6.99
120,7.82
120,7.82
120,7.66
120,7.06
120,6.7
120,6.75
120,6.86
120,7.05
120,6.95
120,6.67
120,6.37
120,7.18
120,7.38
120,7.5
120,7.57
120,7.29
120,7.71
120,7.74
120,7.42
120,7.34
120,6.73
120,6.9
120,7.28
120,7.83
120,8.08
120,8.14
120,8.1
120,8.04
120,7.49
120,7.19
120,7.12
120,6.66
120,7.25
120,7.25
120,6.85
120,7.09
120,7.22
120,6.39
120,7.15
120,6.98
120,7.19
120,7.18
120,6.69
120,6.71
120,6.75
120,7.48
120,7.29
120,7.25
120,7.26
120,7.3
120,7.43
120,7.55
120,7.48
120,7.25
120,7.29
120,7.73
120,7.72
120,7.63
120,6.72
120,7.82
120,7.59
120,7.74
120,7.49
120,7.47
120,7.48
120,7.56
120,7.51
120,7.09
120,6.88
120,7.23
120,7.23
120,6.92
120,6.46
120,6.94
120,6.82
120,6.73
120,6.73
120,6.72
120,7.04
120,7.01
120,7.41
120,7.43
120,7.33
120,7.48
120,7.63
120,7.75
120,7.22
120,7.75
120,7.67
120,7.72
120,7.87
120,7.01
120,6.72
120,6.73
120,8.02
120,7.22
120,7.36
120,7.47
120,7.42
120,6.73
120,6.86
120,7.11
120,7.14
120,7.04
120,6.38
120,6.97
120,7.21
120,7.24
120,6.68
120,6.72
120,6.75
120,6.71
120,6.81
120,6.78
120,7.37
120,7.53
120,7.7
120,7.49
120,7.26
120,7.72
120,7.75
120,7.72
120,7.59
120,7.79
120,7.94
120,6.7
120,6.62
120,6.36
120,6.3
120,7.14
120,7.09
120,6.72
120,6.91
120,6.85
120,6.59
120,7.32
120,7.2
120,6.74
120,6.73
120,7.56
120,7.39
120,7.21
120,7.38
120,7.09
120,7.49
120,7.26
120,7.3
120,7.82
120,7.99
120,6.72
120,6.7
120,6.32
120,6.2
120,6.87
120,7.26
120,6.34
120,6.48
120,7.94
120,8.38
120,8.09
120,7.92
120,7.45
120,7.51
120,7.23
120,7.2
120,6.69
120,6.76
120,6.73
120,6.67
120,6.84
120,6.73
120,6.9
120,6.81
120,6.16
120,7.19
120,7.32
120,7.02
120,6.76
120,7.7
120,7.58
120,7.4
120,7.21
120,7.23
120,7.11
120,7.22
120,8.08
120,8.02
120,6.74
120,7.55
120,6.7
120,6.5
120,6.42
120,6.21
120,7.81
120,6.33
120,6.86
120,8.38
120,7.59
120,7.6
120,7.21
120,7.49
120,7.49
120,7.45
120,7.38
120,7.2
120,6.7
120,6.66
120,6.74
120,6.82
120,6.72
120,6.72
120,6.68
120,7.41
120,7.04
120,6.76
120,6.7
120,7.21
120,7.25
120,7.42
120,7.54
120,7.34
120,7.24
120,7.76
120,6.83
120,7.34
120,6.21
120,6.38
