Name,City,State,Zip Code,Plant Operator,Plant Desc.,Operating Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Planned Capacity (MW),Retired Capacity (MW),Operating Units,Planned Units,Retired Units,Fuel 1,Fuel 2,Net Gen. MWh,Capacity Factor,Sub 1,Sub 2,No. Lines,NAICS Code,NAICS Desc.,SIC Code,Source,Source Date
Allendorf,"Cloverdale, IA",IA,51249,Northern Alternative Energy,"Renewable Energy Power Plant (1.2 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.2,1.2,1.2,0,0,1,0,0,Renew,,974,9.27,Allendorf,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Endeavor Wind Farm,"Harris, IA",IA,51345,Osceola Windpower LLC,"Renewable Energy Power Plant (100 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",100,100,100,0,0,1,0,0,Renew,,234170,26.73,Endeavor Wind Farm,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Estherville,"Estherville, IA",IA,51334,Estherville IA (City of),"Gas-fired Power Plant (17.6 MW of operating capacity, 0 MW of planned capacity, and 1.8 MW of retired capacity)",17.6,15.4,15.6,0,1.8,6,0,2,Gas,Petro,46,0.03,Estherville,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Flying Cloud,"Lake Park, IA",IA,51347,Flying Cloud Power Partners LLC,"Renewable Energy Power Plant (43.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",43.5,43.5,43.5,0,0,1,0,0,Renew,,124731,32.73,Flying Cloud,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Graettinger,"Graettinger, IA",IA,51342,Graettinger Municipal Light Plant,"Petro-fired Power Plant (3.6 MW of operating capacity, 0 MW of planned capacity, and 0.6 MW of retired capacity)",3.6,3.6,3.6,0,0.6,3,0,3,Petro,,11,0.03,Graettinger,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Iowa Lakes Community College Wind,"Estherville, IA",IA,51334,Iowa Lakes Community College,"Renewable Energy Power Plant (1 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1,1,1,0,0,1,0,0,Renew,,0,0,Iowa Lakes Community College Wind,,0,221119,Other Electric Power Generation,491,Ventyx Research,01/2010
Iowa Lakes Superior Wind,"Superior, IA",IA,51363,enXco Inc,"Renewable Energy Power Plant (10.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",10.5,10.5,10.5,0,0,1,0,0,Renew,,25589,27.82,Iowa Lakes Superior Wind,,0,221119,Other Electric Power Generation,491,Aerial Imagery,07/2008
L J Trust,"Cloverdale, IA",IA,51249,LJ Trust LLC,"Renewable Energy Power Plant (2 MW of operating capacity, 0 MW of planned capacity, and 1.8 MW of retired capacity)",2,2,2,0,1.8,1,0,1,Renew,,0,0,L J Trust,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Lake Park,"Lake Park, IA",IA,51347,Lake Park Municipal Utilities,"Petro-fired Power Plant (4 MW of operating capacity, 0 MW of planned capacity, and 2.7 MW of retired capacity)",4,4,4,0,2.7,2,0,3,Petro,,22,0.06,Lake Park,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Lost Lakes Wind Farm,"Wahpeton, IA",IA,51347,Lost Lakes Wind Farm LLC,"Renewable Energy Power Plant (100.65 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",100.65,100.65,100.65,0,0,1,0,0,Renew,,24244,2.75,Lost Lakes Wind Farm,,0,221119,Other Electric Power Generation,491,Aerial Imagery,05/2009
Milford (IA),"Milford, IA",IA,51351,Milford Municipal Utilities,"Petro-fired Power Plant (6.5 MW of operating capacity, 0 MW of planned capacity, and 0.4 MW of retired capacity)",6.5,6.5,6.5,0,0.4,5,0,2,Petro,,30,0.05,Milford (IA),,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,na
Northstar Wind Farm,"Estherville, IA",IA,51334,Emmet County Energy LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 199.5 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,199.5,0,0,2,0,Renew,,0,0,Northstar Wind Farm,,0,221119,Other Electric Power Generation,491,Nearest City,10/2007
Northwest Iowa Wind (NextEra),"May City, IA",IA,51351,NextEra Energy Resources LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 250.5 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,250.5,0,0,1,0,Renew,,0,0,Northwest Iowa Wind (Nextera),,0,221119,Other Electric Power Generation,491,Ventyx Research,2010
Osceola Windpower II,"Harris, IA",IA,51345,Osceola Windpower II LLC,"Renewable Energy Power Plant (50 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",50,50,50,0,0,1,0,0,Renew,,130390,29.77,Osceola Windpower II,,1,221119,Other Electric Power Generation,491,Aerial Imagery,07/2008
Red Rock Wind Project,"Superior, IA",IA,51364,Red Rock Wind Energy,"Renewable Energy Power Plant (0 MW of operating capacity, 300 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,300,0,0,1,0,Renew,,0,0,Red Rock Wind Project,,0,221119,Other Electric Power Generation,491,Ventyx Research,12/2008
Rock Rapids,"Rock Rapids, IA",IA,51246,Rock Rapids Utilities,"Petro-fired Power Plant (2.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",2.5,2.5,2.5,0,0,1,0,0,Petro,,29,0.13,Rock Rapids,,1,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Sibley One,"Sibley, IA",IA,51249,Sibley IA (City of),"Petro-fired Power Plant (5.2 MW of operating capacity, 0 MW of planned capacity, and 2.5 MW of retired capacity)",5.2,4.8,5.1,0,2.5,3,0,1,Petro,,34,0.08,Sibley One,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Sibley Two,"Sibley, IA",IA,51249,Sibley IA (City of),"Petro-fired Power Plant (1.1 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.1,1,1.1,0,0,1,0,0,Petro,,17,0.19,Sibley Two,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Zachary Ridge LLC,"Cloverdale, IA",IA,51249,Zachary Ridge LLC,"Renewable Energy Power Plant (2 MW of operating capacity, 0 MW of planned capacity, and 3.6 MW of retired capacity)",2,2,2,0,3.6,1,0,1,Renew,,0,0,Zachary Ridge LLC,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
