Name,Owner Type,Regulation,Control Area,Plan Area,Holding Co.,Summer Peak,Winter Peak,Summer Capacity,Winter Capacity,Net Gen. MW,Source,Source Date
Florida Public Utilities Co,IOU,Regulated,Southern Co Services Inc,Gulf Power Co,Chesapeake Utilities Corp,166,179,0,0,0,Regional Maps; Ventyx Research,Unknown
Georgia Power Co,IOU,Regulated,Southern Co Services Inc,Georgia Power Co,Southern Co,16080,15173,15576.1,16114.4,72394300,Company Maps; Ventyx Research,Unknown
Alabama Power Co,IOU,Regulated,Southern Co Services Inc,Alabama Power Co,Southern Co,11154,10892,12249.6,12485.9,68773200,Regional Maps; Ventyx Research,03/2004
Alexander City AL (City of),Muni,Regulated,Southern Co Services Inc,Alabama Power Co,Alexander City AL (City of),37,34,0,0,0,Regional Maps; Ventyx Research,03/2004
Carroll Electric Member Corp,DistCoop,Regulated,Southern Co Services Inc,Oglethorpe Power Corp,Carroll Electric Member Corp,216,242,0,0,0,Previously Mapped Features; Ventyx Research,na
Choctawhatchee Electric Coop Inc,DistCoop,Regulated,PowerSouth Energy Coop,PowerSouth Energy Coop,Choctawhatchee Electric Coop Inc,184,199,0,0,0,Regional Maps; Ventyx Research,02/2009
Escambia River Electric Coop Inc,DistCoop,Regulated,PowerSouth Energy Coop,PowerSouth Energy Coop,Escambia River Electric Coop Inc,42,49,0,0,0,Regional Maps; Ventyx Research,02/2009
Coosa Valley Electric Coop Inc,DistCoop,Regulated,PowerSouth Energy Coop,PowerSouth Energy Coop,Coosa Valley Electric Coop Inc,62,82,0,0,0,Regional Maps; Ventyx Research,03/2004
Covington Electric Coop Inc,DistCoop,Regulated,PowerSouth Energy Coop,PowerSouth Energy Coop,Covington Electric Coop Inc,93,101,0,0,0,Previously Mapped Features; Ventyx Research,na
Diverse Power Inc,DistCoop,Regulated,Southern Co Services Inc,Oglethorpe Power Corp,Diverse Power Inc,126,164,0,0,0,Company Maps; Ventyx Research,Unknown
Gulf Power Co,IOU,Regulated,Southern Co Services Inc,Gulf Power Co,Southern Co,2546,2320,2650.75,2710.55,12895400,Ventyx Research,na
Lawrenceburg Power System,Muni,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Lawrenceburg Power System,100,105,0,0,0,Previously Mapped Features; Ventyx Research,na
Sequachee Valley Electric Coop,DistCoop,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Sequachee Valley Electric Coop,152,204,0,0,0,Regional Maps; Ventyx Research,Unknown
Dixie Electric Coop,DistCoop,Regulated,PowerSouth Energy Coop,PowerSouth Energy Coop,Dixie Electric Coop,116,104,0,0,0,Regional Maps; Ventyx Research,03/2004
Baldwin County Electric Member Coop,DistCoop,Regulated,PowerSouth Energy Coop,PowerSouth Energy Coop,Baldwin County Electric Member Coop,304,310,0,0,0,Regional Maps; Ventyx Research,10/2003
Sumter Electric Member Corp,DistCoop,Regulated,Southern Co Services Inc,Oglethorpe Power Corp,Sumter Electric Member Corp,97,104,0,0,0,Company Maps; Ventyx Research,Unknown
