Department,Name
OTHER,Centennial Mountains Sheep Experimental Station
OTHER,Fort Keogh Livestock and Range Research Lab
OTHER,Jornada Experimental Range
OTHER,Roman L. Hruska U.S. Animal Meat Research Center
OTHER,U.S. Department of Agriculture Research Center
OTHER,Jornada Experimental Range
OTHER,Jornada Experimental Range
DOD,
DOD,
FWS,Kenai Wilderness
DOD,Air Force Plant No. 38
DOD,Air Force Plant No. 44
DOD,Air Force Plant No. 78
DOD,Altus Air Force Base
DOD,Andrews Air Force Base
DOD,Avon Park Air Force Bombing Range
DOD,Barksdale Air Force Base
DOD,Barry M. Goldwater Air Force Range
DOD,Barter Island Long Range Radar Site
DOD,Beale Air Force Base
DOD,Beaver Creek Research Site
DOD,Bellows Air Force Station
DOD,Bergstrom Air Force Base (Closed)
FWS,Kofa Wilderness
DOD,Blair Lake Air Force Range
DOD,Boise Air Terminal
DOD,Bolling Air Force Base
DOD,Brooks Air Force Base
FS,Ptarmigan Peak Wilderness Study Area
DOD,Campion Air Force Station
DOD,Cannon Air Force Base
DOD,Cape Canaveral Air Force Station
DOD,Cape Newenham Long Range Radar Site
DOD,Cape Romanzof Long Range Radar Site
DOD,Carswell Air Force Base (Closed)
DOD,Castle Air Force Base (Closed)
DOD,Charleston Air Force Base
FS,Pike National Forest
DOD,Chena River Research Site
DOD,Clear Air Force Station
DOD,Cuddeback Lake Air Force Range
DOD,Cusick Survival Training Site
DOD,Dare County Range
DOD,Davis-Monthan Air Force Base
FS,Pine Creek Wilderness Study Area
DOD,Deseret Test Center
DOD,Desert Survival Training Site
DOD,Dillinghan Air Force Base
DOD,Dobbins Air Force Base
DOD,Dover Air Force Base
DOD,Dyess Air Force Base
DOD,Eaker Air Force Base (Closed)
DOD,Edwards Air Force Base
DOD,U.S. Air Force Transmitter Station
DOD,Eielson Air Force Base
DOD,Ellington Air Force Base
DOD,Ellsworth Air Force Base
DOD,Elmendorf Air Force Base
DOD,Fairchild Air Force Base
DOD,Forbes Air Force Base
DOD,Fort Sam Houston
BLM,Yolla Bolly Contiguous Wilderness Study Area
DOD,Francis E. Warren Air Force Base
DOD,Galena Air Force Base
DOD,George Air Force Base (Closed)
DOD,Goodfellow Air Force Base
DOD,Grand Forks Air Force Base
DOD,Griffiss Air Force Base (Closed)
DOD,Grissom Air Force Base (Closed)
DOD,Hancock Field U.S. Air Force
DOD,Hanscom Air Force Base
DOD,Hickam Air Force Base
DOD,Hill Air Force Base
DOD,Hill Air Force Range
DOD,Holloman Air Force Base
DOD,Homestead Air Force Base (Closed)
DOD,Indian Mountain Long Range Radar Site
DOD,Camp Adair Military Reservation
DOD,Indian Mountain Research Site
DOD,Indian Springs Air Force Auxiliary Field
DOD,K. I. Sawyer Air Force Base (Closed)
DOD,Kelly Air Force Base (Scheduled to close)
DOD,Kingsley Field Air National Guard Base
DOD,Lackland Air Force Base
DOD,Langley Air Force Base
DOD,Laughlin Air Force Base
DOD,Little Mountain Test Annex
DOD,Little Rock Air Force Base
DOD,Lonely Distant Early Warning Station
DOD,Loring Air Force Base (Closed)
DOD,Lowry Air Force Base (Closed)
DOD,Luke Air Force Auxiliary Field
DOD,Luke Air Force Base
DOD,MacDill Air Force Base
DOD,Malmstrom Air Force Base
DOD,March Air Force Base (Closed)
DOD,United States Air Force Academy
FS,Toiyabe National Forest
