Category,Name,Region,Location,Type
LONG RANGE RADAR,CITRONELLE LRR (SURVEILLANCE) [QRB],WESTERN PACIFIC,Citronelle-AL,LRR
LONG RANGE RADAR,HALEYVILLE-RUSSELLVILLE LRR (SURVEILLANCE) [QPC],SOUTHERN,Haleyville-AL,LRR
LONG RANGE RADAR,MONTGOMERY LRR (SURVEILLANCE) [MGM],SOUTHERN,Montgomery-AL,LRR
LONG RANGE RADAR,RUSSELLVILLE LRR (SURVEILLANCE) [QXR],SOUTHERN,Russellville-AR,LRR
LONG RANGE RADAR,TEXARKANA LRR (SURVEILLANCE) [TXK],SOUTHWEST,Texarkana-AR,LRR
LONG RANGE RADAR,AJO LRR (SURVEILLANCE) [AJO],SOUTHWEST,Ajo-AZ,LRR
LONG RANGE RADAR,PHOENIX-CAVE CREEK LRR (SURVEILLANCE) [PHX],WESTERN PACIFIC,Cave Creek-AZ,LRR
LONG RANGE RADAR,SELIGMAN LRR (SURVEILLANCE) [QXP],WESTERN PACIFIC,Seligman-AZ,LRR
LONG RANGE RADAR,BORON LRR (SURVEILLANCE) [QSR],SOUTHERN,Boron-CA,LRR
LONG RANGE RADAR,EDWARDS AFB LRR (SURVEILLANCE) [EDW],WESTERN PACIFIC,Edwards-CA,LRR
LONG RANGE RADAR,MILL VALLEY LRR (SURVEILLANCE) [QMV],WESTERN PACIFIC,Mill Valley-CA,LRR
LONG RANGE RADAR,MT LAGUNA LRR (SURVEILLANCE) [QRW],WESTERN PACIFIC,Mount Laguna-CA,LRR
LONG RANGE RADAR,PASO ROBLES-SAN LUIS OBISPO LRR (SURVEILLANCE) [PRB],WESTERN PACIFIC,San Luis Obispo-CA,LRR
LONG RANGE RADAR,RAINBOW RIDGE-RIO DELL LRR (SURVEILLANCE) [QZZ],WESTERN PACIFIC,Rio Dell-CA,LRR
LONG RANGE RADAR,RED BLUFF LRR (SURVEILLANCE) [RBL],WESTERN PACIFIC,Red Bluff-CA,LRR
LONG RANGE RADAR,SACRAMENTO LRR (SURVEILLANCE) [SAC],WESTERN PACIFIC,Sacramento-CA,LRR
LONG RANGE RADAR,SAN CLEMENTE ISLAND LRR (SURVEILLANCE) [NSD],WESTERN PACIFIC,San Clemente-CA,LRR
LONG RANGE RADAR,SAN PEDRO LRR (SURVEILLANCE) [QLA],WESTERN PACIFIC,San Pedro-CA,LRR
LONG RANGE RADAR,GRAND JUNCTION-ATCHEE LRR (SURVEILLANCE) [GJT],WESTERN PACIFIC,Atchee-CO,LRR
LONG RANGE RADAR,PARKER-AURORA LRR (SURVEILLANCE) [QPK],NORTHWEST MOUNTAIN,Aurora-CO,LRR
LONG RANGE RADAR,RED TABLE MOUNTAIN-EAGLE LRR (SURVEILLANCE) [DBL],NORTHWEST MOUNTAIN,Eagle-CO,LRR
LONG RANGE RADAR,TRINIDAD-THATCHER LRR (SURVEILLANCE) [TAD],NORTHWEST MOUNTAIN,Thatcher-CO,LRR
LONG RANGE RADAR,CROSS CITY LRR (SURVEILLANCE) [CTY],EASTERN,Cross City-FL,LRR
LONG RANGE RADAR,FT GREEN LRR (SURVEILLANCE) [QJT],SOUTHERN,Fort Green-FL,LRR
LONG RANGE RADAR,JACKSONVILLE-WHITEHOUSE LRR (SURVEILLANCE) [NEN],SOUTHERN,Jacksonville-FL,LRR
LONG RANGE RADAR,KEY WEST LRR (SURVEILLANCE) [NQX],SOUTHERN,Key West-FL,LRR
LONG RANGE RADAR,MELBOURNE LRR (SURVEILLANCE) [MLB],SOUTHERN,Melbourne-FL,LRR
LONG RANGE RADAR,PANAMA CITY-TYNDALL AFB LRR (SURVEILLANCE) [PAM],SOUTHERN,Panama City-FL,LRR
LONG RANGE RADAR,TAMIAMI LRR (SURVEILLANCE) [QM8],SOUTHERN,Miami-FL,LRR
LONG RANGE RADAR,ASHBURN LRR (SURVEILLANCE) [QHN],SOUTHERN,Ashburn-GA,LRR
LONG RANGE RADAR,LINCOLNTON LRR (SURVEILLANCE) [QNK],SOUTHERN,Lincolnton-GA,LRR
LONG RANGE RADAR,MARIETTA LRR (SURVEILLANCE) [ATL],SOUTHERN,Marietta-GA,LRR
LONG RANGE RADAR,MT KAALA-WHEELER AAF LRR (SURVEILLANCE) [QKA],WESTERN PACIFIC,Wheeler Aaf-HI,LRR
LONG RANGE RADAR,MT KOKEE LRR (SURVEILLANCE) [QKK],WESTERN PACIFIC,Kekaha-HI,LRR
LONG RANGE RADAR,PAHOA-HILO LRR (SURVEILLANCE) [POA],WESTERN PACIFIC,Hilo-HI,LRR
LONG RANGE RADAR,PUU NIANIAU-PUKALANI LRR (SURVEILLANCE) [QPN],WESTERN PACIFIC,Pukalani-HI,LRR
LONG RANGE RADAR,ARLINGTON LRR (SURVEILLANCE) [QJO],CENTRAL,Arlington-IA,LRR
LONG RANGE RADAR,ASHTON-ISLAND PARK LRR (SURVEILLANCE) [QVA],CENTRAL,Island Park-ID,LRR
LONG RANGE RADAR,CASCADE LRR (SURVEILLANCE) [QCK],NORTHWEST MOUNTAIN,Cascade-ID,LRR
LONG RANGE RADAR,ELWOOD-JOLIET LRR (SURVEILLANCE) [JOL],GREAT LAKES,Elwood-IL,LRR
LONG RANGE RADAR,HANNA CITY LRR (SURVEILLANCE) [QUZ],GREAT LAKES,Hanna City-IL,LRR
LONG RANGE RADAR,HUNTINGBURG LRR (SURVEILLANCE) [HNB],GREAT LAKES,Huntingburg-IN,LRR
LONG RANGE RADAR,INDIANAPOLIS LRR (SURVEILLANCE) [IND],GREAT LAKES,Indianapolis-IN,LRR
LONG RANGE RADAR,LAGRANGE LRR (SURVEILLANCE) [QTZ],GREAT LAKES,Lagrange-IN,LRR
LONG RANGE RADAR,GARDEN CITY-SUBLETTE LRR (SURVEILLANCE) [GCK],CENTRAL,Sublette-KS,LRR
LONG RANGE RADAR,HUTCHINSON LRR (SURVEILLANCE) [HTI],CENTRAL,Hutchinson-KS,LRR
LONG RANGE RADAR,OSKALOOSA LRR (SURVEILLANCE) [QBZ],CENTRAL,Oskaloosa-KS,LRR
LONG RANGE RADAR,LYNCH LRR (SURVEILLANCE) [QRI],CENTRAL,Lynch-KY,LRR
LONG RANGE RADAR,ALEXANDRIA LRR (SURVEILLANCE) [AEX],SOUTHERN,Alexandria-LA,LRR
LONG RANGE RADAR,LAKE CHARLES LRR (SURVEILLANCE) [LCH],SOUTHWEST,Lake Charles-LA,LRR
LONG RANGE RADAR,SLIDELL-NEW ORLEANS LRR (SURVEILLANCE) [NEW],SOUTHWEST,Slidell-LA,LRR
LONG RANGE RADAR,CUMMINGTON LRR (SURVEILLANCE) [QHA],NEW ENGLAND,Cummington-MA,LRR
LONG RANGE RADAR,NORTH TRURO LRR (SURVEILLANCE) [QEA],NEW ENGLAND,North Truro-MA,LRR
LONG RANGE RADAR,BUCKS HARBOR LRR (SURVEILLANCE) [QYA],NEW ENGLAND,Bucks Harbor-ME,LRR
LONG RANGE RADAR,CARIBOU LRR (SURVEILLANCE) [QYD],NEW ENGLAND,Caribou-ME,LRR
LONG RANGE RADAR,SKOWHEGAN LRR (SURVEILLANCE) [QYC],NEW ENGLAND,Skowhegan-ME,LRR
LONG RANGE RADAR,COOPERSVILLE LRR (SURVEILLANCE) [CPV],GREAT LAKES,Coopersville-MI,LRR
LONG RANGE RADAR,DETROIT-CANTON LRR (SURVEILLANCE) [QDT],GREAT LAKES,Canton-MI,LRR
LONG RANGE RADAR,EMPIRE LRR (SURVEILLANCE) [QJA],GREAT LAKES,Empire-MI,LRR
LONG RANGE RADAR,APPLE VALLEY LRR (SURVEILLANCE) [QJE],GREAT LAKES,Apple Valley-MN,LRR
LONG RANGE RADAR,NASHWAUK LRR (SURVEILLANCE) [QJD],GREAT LAKES,Nashwauk-MN,LRR
LONG RANGE RADAR,TYLER LRR (SURVEILLANCE) [QJC],GREAT LAKES,Tyler-MN,LRR
LONG RANGE RADAR,CROCKER LRR (SURVEILLANCE) [QJN],CENTRAL,Crocker-MO,LRR
LONG RANGE RADAR,KIRKSVILLE LRR (SURVEILLANCE) [IRK],CENTRAL,Kirksville-MO,LRR
LONG RANGE RADAR,ST LOUIS-OVERLAND LRR (SURVEILLANCE) [STL],CENTRAL,Saint Louis-MO,LRR
LONG RANGE RADAR,BYHALIA LRR (SURVEILLANCE) [QYB],CENTRAL,Byhalia-MS,LRR
LONG RANGE RADAR,NEWPORT LRR (SURVEILLANCE) [QNM],SOUTHERN,Newport-MS,LRR
LONG RANGE RADAR,GREAT FALLS-MALMSTROM AFB LRR (SURVEILLANCE) [GFA],NORTHWEST MOUNTAIN,Great Falls-MT,LRR
LONG RANGE RADAR,LAKESIDE LRR (SURVEILLANCE) [QLS],NORTHWEST MOUNTAIN,Lakeside-MT,LRR
LONG RANGE RADAR,BENSON LRR (SURVEILLANCE) [QRL],SOUTHERN,Benson-NC,LRR
LONG RANGE RADAR,FT FISHER-KURE BEACH LRR (SURVEILLANCE) [QGV],SOUTHERN,Kure Beach-NC,LRR
LONG RANGE RADAR,MAIDEN LRR (SURVEILLANCE) [QRM],SOUTHERN,Maiden-NC,LRR
LONG RANGE RADAR,FINLEY LRR (SURVEILLANCE) [QFI],GREAT LAKES,Finley-ND,LRR
LONG RANGE RADAR,WATFORD CITY-ALEXANDER LRR (SURVEILLANCE) [QWA],GREAT LAKES,Alexander-ND,LRR
LONG RANGE RADAR,NORTH PLATTE LRR (SURVEILLANCE) [LBF],CENTRAL,North Platte-NE,LRR
LONG RANGE RADAR,OMAHA LRR (SURVEILLANCE) [QHO],CENTRAL,Omaha-NE,LRR
LONG RANGE RADAR,ROCKVILLE LRR (SURVEILLANCE) [QJM],CENTRAL,Rockville-NE,LRR
LONG RANGE RADAR,GIBBSBORO LRR (SURVEILLANCE) [QIE],EASTERN,Gibbsboro-NJ,LRR
LONG RANGE RADAR,DEMING-LAS CRUCES LRR (SURVEILLANCE) [DMN],EASTERN,Las Cruces-NM,LRR
LONG RANGE RADAR,GALLUP-SHEEP SPRINGS LRR (SURVEILLANCE) [GUP],SOUTHWEST,Sheep Spring-NM,LRR
LONG RANGE RADAR,MESA RICA LRR (SURVEILLANCE) [QWC],SOUTHWEST,Hooverville-NM,LRR
LONG RANGE RADAR,SILVER CITY-MULE CREEK LRR (SURVEILLANCE) [SVC],SOUTHWEST,Mule Creek-NM,LRR
LONG RANGE RADAR,WEST MESA-ALBUQUERQUE LRR (SURVEILLANCE) [QSA],SOUTHWEST,Albuquerque-NM,LRR
LONG RANGE RADAR,ANGEL PEAK-LAS VEGAS LRR (SURVEILLANCE) [QAS],SOUTHWEST,Las Vegas-NV,LRR
LONG RANGE RADAR,MAKAH-NEAH BAY LRR (SURVEILLANCE) [QKW],NORTHWEST MOUNTAIN,Neah Bay-WA,LRR
LONG RANGE RADAR,BATTLE MOUNTAIN LRR (SURVEILLANCE) [BAM],WESTERN PACIFIC,Battle Mountain-NV,LRR
LONG RANGE RADAR,FALLON LRR (SURVEILLANCE) [FLX],WESTERN PACIFIC,Fallon-NV,LRR
LONG RANGE RADAR,TONOPAH LRR (SURVEILLANCE) [TPH],WESTERN PACIFIC,Tonopah-NV,LRR
LONG RANGE RADAR,DANSVILLE LRR (SURVEILLANCE) [DSV],EASTERN,Dansville-NY,LRR
LONG RANGE RADAR,RIVERHEAD LRR (SURVEILLANCE) [QVH],EASTERN,Riverhead-NY,LRR
LONG RANGE RADAR,UTICA-REMSEN LRR (SURVEILLANCE) [QXU],EASTERN,Remsen-NY,LRR
LONG RANGE RADAR,BRECKSVILLE-CLEVELAND LRR (SURVEILLANCE) [QDB],GREAT LAKES,Brecksville-OH,LRR
LONG RANGE RADAR,LONDON LRR (SURVEILLANCE) [QWO],GREAT LAKES,London-OH,LRR
LONG RANGE RADAR,CHELSEA LRR (SURVEILLANCE) [QAF],SOUTHWEST,Chelsea-OK,LRR
LONG RANGE RADAR,OKLAHOMA CITY LRR (SURVEILLANCE) [OKC],SOUTHWEST,Oklahoma City-OK,LRR
LONG RANGE RADAR,PUTNAM LRR (SURVEILLANCE) [QOT],SOUTHWEST,Putnam-OK,LRR
LONG RANGE RADAR,FOSSIL LRR (SURVEILLANCE) [QVN],NORTHWEST MOUNTAIN,Fossil-OR,LRR
LONG RANGE RADAR,KLAMATH FALLS LRR (SURVEILLANCE) [LMT],NORTHWEST MOUNTAIN,Klamath Falls-OR,LRR
LONG RANGE RADAR,MONROE LRR (SURVEILLANCE) [QMO],NORTHWEST MOUNTAIN,Monroe-OR,LRR
LONG RANGE RADAR,SALEM LRR (SURVEILLANCE) [SLE],NORTHWEST MOUNTAIN,Salem-OR,LRR
LONG RANGE RADAR,BENTON LRR (SURVEILLANCE) [QRC],EASTERN,Benton-PA,LRR
LONG RANGE RADAR,CLEARFIELD LRR (SURVEILLANCE) [QCF],EASTERN,Clearfield-PA,LRR
LONG RANGE RADAR,OAKDALE-PITTSBURGH LRR (SURVEILLANCE) [PIT],EASTERN,Oakdale-PA,LRR
LONG RANGE RADAR,JEDBURG LRR (SURVEILLANCE) [QRJ],SOUTHERN,Jedburg-SC,LRR
LONG RANGE RADAR,GETTYSBURG LRR (SURVEILLANCE) [QJB],GREAT LAKES,Gettysburg-SD,LRR
