Site Name,State or Territory,Branch and Status
Fort Bliss AAA Ranges,New Mexico,Army Active
MCLB Barstow Yermo Area,California,MC Active
MCLB Barstow,California,MC Active
MWTC Bridgeport,California,MC Active
MCB Hawaii Manana Capehart,Hawaii,MC Active
MCB Hawaii Pearl City Annex,Hawaii,MC Active
MCB Hawaii Puuloa-Oahu,Hawaii,MC Active
Waikele,Hawaii,Navy Active
MCB Camp Smith,Hawaii,MC Active
MC Trng Area Bellows,Hawaii,MC Active
MCB Hawaii Kaneohe,Hawaii,MC Active
MCAS Miramar,California,MC Active
MCB Camp Pendleton,California,MC Active
NOSC LA,California,Navy Reserve
MCRD San Diego,California,MC Active
MCAS Yuma,Arizona,MC Active
NB San Diego Pomerado Terrace,California,Navy Active
NB San Diego Home Terrace Condos,California,Navy Active
NAF El Centro,California,Navy Active
NAS Fallon Target B-16,Nevada,Navy Active
Defense Distribution Region West Tracy,California,Army Active
MCRD San Diego Former NTC,California,MC Active
Twentynine Palms Main Base,California,MC Active
Choc Mt Air Gnry Rng,California,MC Active
NB San Diego Broadway Complex,California,Navy Active
Barry Goldwater Range,Arizona,MC Active
MCAS Yuma Hsg-Off Base FY81,Arizona,MC Active
NWS Seal Beach Corona,California,Navy Active
NB Coronado Silver Strand,California,Navy Active
Umatilla Chem Depot,Oregon,Army Active
Yakima Training Center,Washington,Army Active
Fort Richardson,Alaska,Army Active
Fort Shafter,Hawaii,Army Active
Fort Wainwright,Alaska,Army Active
NAS Whidbey Island Sea Plane Base,Washington,Navy Active
Helemano Military Reservation,Hawaii,Army Active
NS Pearl Harbor,Hawaii,Navy Active
Jackson Park Hsg,Washington,Navy Active
Manchester,Washington,Navy Active
NS Everett,Washington,Navy Active
OLF Coupeville,Washington,Navy Active
NAS Whidbey Island,Washington,Navy Active
NAVBASE Kitsap Bremerton,Washington,Navy Active
NAVMAG Indian Island,Washington,Navy Active
NOSC Sacramento,California,Navy Reserve
Keyport NUWC,Washington,Navy Active
Bayview Idaho,Idaho,Navy Active
Jim Creek,Washington,Navy Active
"Fort Lawton, Magnolia",Washington,Navy Active
Naval Weapons Systems Training Facility Boardma,Oregon,Navy Active
Red Hill,Hawaii,Navy Active
Aiea,Hawaii,Navy Active
Ted Stevens IAP,Alaska,AF Guard
Manana Housing/Pw Area,Hawaii,Navy Active
Pearl City,Hawaii,Navy Active
Waianae,Hawaii,Navy Active
Wahiawa,Hawaii,Navy Active
Waipahu,Hawaii,Navy Active
Honolulu,Hawaii,Navy Active
Kunia,Hawaii,Navy Active
Makaha Ridge,Hawaii,Navy Active
Buckley AFB,Colorado,AF Active
Kamokala Ridge,Hawaii,Navy Active
PACMISRANFAC Hawaiian Area,Hawaii,Navy Active
McChord AFB,Washington,AF Active
Fort Carson,Colorado,Army Active
Fort Hunter Liggett,California,Army Reserve
Fort Huachuca,Arizona,Army Active
OLF Atlantic,North Carolina,MC Active
Point Of Marsh Target,North Carolina,MC Active
MCAS Cherry Point,North Carolina,MC Active
ALF Bogue,North Carolina,MC Active
Fort Ord,California,Army Active
Fort De Russy,Hawaii,Army Active
Fort Bliss,Texas,Army Active
Los Angeles AFB,California,AF Active
Fort Lewis,Washington,Army Active
Deseret Chemical Depot,Utah,Army Active
Pinon Canyon,Colorado,Army Active
Pueblo Chemical Depot,Colorado,Army Active
MCB Camp Lejeune,North Carolina,MC Active
MCB Camp Lejeune West Site,North Carolina,MC Active
Key Field,Mississippi,AF Guard
Aliamanu Military Reservation,Hawaii,Army Active
Tooele Army Depot,Utah,Army Active
Parks Reserve Forces Training Area,California,Army Reserve
Pohakuloa Training Area,Hawaii,Army Active
Schofield Bks Military Reservation,Hawaii,Army Active
Waianae-Kai Military Reservation,Hawaii,Army Active
USA Field Station Kunia,Hawaii,Army Active
NOSC Kansas City,Missouri,Navy Reserve
Wheeler Army Airfield,Hawaii,Army Active
Tripler AMC,Hawaii,Army Active
Riverbank AAP,California,Army Active
Kipapa Ammo Storage Site,Hawaii,Army Active
Black Rapids Training Area,Alaska,Army Active
Makua Mil Reserve,Hawaii,Army Active
Kahuku Training Area,Hawaii,Army Active
Defense Distribution Region West Sharpe Site,California,Army Active
Dugway Proving Ground,Utah,Army Active
Presidio Of Monterey,California,Army Active
NB San Diego Dryside,California,Navy Active
March ARB,California,AF Reserve
Santa Cruz Island,California,Navy Active
Yuma Proving Ground,Arizona,Army Active
Hawthorne Army Depot,Nevada,Army Active
Donnelly Training Area,Alaska,Army Active
Gerstle River Arctic Test Site,Alaska,Army Active
NB Point Loma Old Town,California,Navy Active
NTC and Fort Irwin,California,Army Active
Pupukea Paalaa Uka Mil Road,Hawaii,Army Active
Sierra Army Depot,California,Army Active
White Sands Missile Range,New Mexico,Army Active
Gila Bend Air Force Auxiliary Field,Arizona,AF Active
NAVSUPPDET Monterey Centerville Beach,California,Navy Active
Green River Test Complex,Utah,Army Active
MTA Fort Wm Henry Harrison,Montana,Army Guard
