State Office,Field Office,Acres
Arizona,Lower Sonoran,40749.28898687742
Arizona,Tucson,17.43344886654
California,Bakersfield,30177.01920601198
California,Bishop,2708.44558199580
California,El Centro,74647.95661446503
California,Folsom,31.81435816700
California,Hollister,6966.11661508689
California,Needles,35237.49662145978
California,Redding,2303.52321832782
Arizona,Arizona Strip,33326.09949966669
Arizona,Yuma,18593.67856306461
California,Alturas,43205.27647821053
California,Barstow,220479.58461593394
Colorado,Columbine,1718.18871707847
Colorado,Kremmling,5385.81978539371
Colorado,Del Norte,9439.96954327090
Colorado,Dolores,9349.03217718881
Colorado,Gunnison,50897.06793614230
Colorado,Grand Junction,8362.42665108693
Idaho,Shoshone,506.40025017229
Montana,Billings,6898.02186783592
Montana,Butte,15091.43423102293
Montana,Dillon,51366.34325300132
Colorado,Pagosa Springs,758.28763453357
Colorado,Uncompahgre,17323.61831954404
Oregon/Washington,Ashland,15346.47474246702
Oregon/Washington,Baker,19949.06141795269
Idaho,Upper Snake,31284.80752140578
Colorado,Saguache,51867.02726614212
Nevada,Las Vegas,234143.57275475684
Nevada,Winnemucca,383218.67553285992
New Mexico,Farmington,69669.37360918205
New Mexico,N/A,77991.47804971860
New Mexico,Rio Puerco,67397.70778957006
New Mexico,Soccoro,29910.00601569745
New Mexico,Taos,100860.39385576881
Colorado,La Jara,10401.87319388640
Montana,Lewistown,47.66806056240
Montana,Miles City,20399.31188473316
Montana,Missoula,18.88388057638
Nevada,Battle Mountain,136876.27124624525
Nevada,Carson City,166239.50576833912
Nevada,Elko,273643.03110530699
Nevada,Ely,155900.48260736969
Idaho,Bruneau,2189.42541558357
Idaho,Cottonwood,7265.87381368957
Idaho,Four Rivers,89343.94048124527
Idaho,Jarbridge,37376.38857679271
Idaho,Burley,69211.11282631486
Idaho,Owyhee,7364.73930280156
Idaho,Pocatello,33476.83362399855
Idaho,Salmon,42151.31996999367
Oregon/Washington,Wenatchee,460.36994051592
Utah,Cedar City,28827.53331383471
Utah,Fillmore,48604.19552140810
Utah,Kanab,15880.70110716489
Utah,Richfield,51771.25828641712
Utah,St. George,37013.04220580364
Wyoming,Casper,9131.43703583627
Utah,Salt Lake,241506.51107152703
Oregon/Washington,Border,1372.30241711287
Oregon/Washington,Butte Falls,7.91999525688
Wyoming,Cody,15447.37692162558
Wyoming,Pinedale,39232.19938883890
Wyoming,Rawlins,34594.68168360885
Wyoming,Kemmerer,55099.74555454521
Wyoming,Lander,31252.39874677527
Wyoming,Rock Springs,118548.49905484894
Oregon/Washington,Cascades,6580.03138772333
California,Eagle Lake,50872.87857749680
California,Palm Springs-South Coast,26356.50925386895
California,Ridgecrest,41369.18558405630
California,Surprise,67756.28842339492
Oregon/Washington,Central Oregon,4709.96517746326
Oregon/Washington,Deschutes,290.64854873564
Oregon/Washington,Malheur,25845.13676425834
Oregon/Washington,Klamath Falls,7623.44204075318
