ReEDS Region,PCA
1,2
2,1
3,1
4,1
5,2
6,3
7,4
8,3
9,2
10,5
11,5
12,5
13,5
14,6
15,6
16,5
17,5
29,9
30,10
31,10
32,11
33,10
34,12
35,12
36,12
37,12
38,12
18,7
19,7
20,9
21,8
22,9
23,9
24,9
25,9
26,9
27,9
28,10
39,12
40,13
41,14
42,15
43,15
44,15
45,15
46,16
47,16
48,25
49,25
50,26
51,25
52,25
53,27
54,28
55,29
56,28
57,28
114,39
115,39
116,40
117,40
118,40
119,41
120,42
121,43
122,44
173,65
174,65
175,67
176,68
177,69
178,70
58,30
59,28
60,17
61,17
62,17
63,17
64,18
65,18
66,20
67,18
68,19
69,20
70,21
71,21
72,22
129,46
130,46
131,46
132,45
186,73
187,84
188,84
189,72
190,72
191,74
192,75
193,76
194,77
73,23
74,24
75,33
76,33
77,34
78,34
79,33
80,33
81,33
82,33
148,47
149,48
213,104
214,103
215,103
216,103
217,103
218,103
219,105
83,34
84,34
85,33
86,34
87,34
88,31
89,31
90,31
91,31
92,31
93,31
160,56
161,58
162,58
163,61
164,62
165,60
166,61
167,63
168,63
169,63
170,63
171,64
172,65
94,59
95,32
96,35
97,36
98,36
99,37
100,36
101,36
102,37
103,37
104,38
105,38
106,38
107,38
108,38
109,38
110,38
111,38
112,38
113,38
123,44
124,43
125,43
126,43
127,43
128,43
133,69
134,45
135,52
136,53
137,53
138,53
139,53
140,53
141,53
142,53
143,53
144,54
145,54
146,55
147,55
150,48
151,57
152,49
153,50
154,50
155,50
156,50
157,51
158,50
159,56
179,70
180,70
281,92
181,70
282,92
283,92
284,92
285,92
286,93
287,93
288,97
289,97
290,97
182,70
183,70
184,71
185,72
195,78
291,98
292,98
293,98
196,76
197,75
198,79
199,80
200,81
201,81
202,81
203,82
294,98
295,95
296,96
297,96
298,96
299,96
300,99
301,100
302,99
303,99
304,99
305,99
306,99
307,99
308,116
309,101
310,101
311,101
312,101
313,102
314,124
315,123
316,123
317,123
318,125
319,125
320,122
204,81
205,81
206,80
207,80
321,122
208,83
209,83
210,83
211,103
212,103
220,105
221,105
322,122
323,122
324,122
325,122
326,122
327,122
328,126
329,126
330,126
331,126
332,126
333,127
334,127
335,127
336,127
337,127
338,127
339,127
340,127
341,127
342,128
343,132
344,132
345,133
346,133
347,131
348,131
349,131
350,129
351,129
352,129
353,130
354,130
355,134
356,134
222,105
357,135
358,136
223,106
224,107
225,105
226,105
227,111
228,112
229,112
230,113
231,114
232,112
233,112
234,111
235,112
236,108
237,109
238,109
239,109
240,109
241,109
242,110
243,118
244,118
245,118
246,117
247,117
248,117
249,116
250,116
251,115
252,115
253,121
254,120
255,119
256,66
257,85
258,85
259,85
260,86
261,58
262,87
263,88
264,87
265,89
266,89
267,90
268,90
269,91
270,91
271,91
272,94
273,94
274,94
275,94
276,92
277,92
278,92
279,92
280,92
