Bus Name,Number of Lines,Total Capacity (kV)
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,115
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,2,276
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Undetermined Company,1,69
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,115
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,115
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Louisiana Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Louisiana Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Entergy Arkansas Inc,1,138
Undetermined Company,1,138
Undetermined Company,1,138
Undetermined Company,1,138
Undetermined Company,1,138
Entergy Louisiana Inc,1,138
Entergy Arkansas Inc,1,115
Pattern Energy Group LP,1,765
Entergy Louisiana Inc,1,69
Undetermined Company,1,4
Entergy Louisiana Inc,1,138
Entergy Louisiana Inc,1,138
Entergy Mississippi Inc,1,138
Entergy Mississippi Inc,2,276
Entergy Arkansas Inc,1,138
Entergy Louisiana Inc,1,230
Entergy Mississippi Inc,1,138
Entergy Arkansas Inc,1,138
Undetermined Company,1,138
Entergy Arkansas Inc,1,138
Entergy Mississippi Inc,1,115
Entergy Mississippi Inc,1,138
Entergy Mississippi Inc,1,138
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,500
Undetermined Company,1,4
Undetermined Company,1,4
Entergy Louisiana Inc,1,500
Undetermined Company,1,500
Entergy Arkansas Inc,1,500
Undetermined Company,1,69
Undetermined Company,1,69
Entergy Arkansas Inc,1,500
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Entergy Louisiana Inc,1,69
Entergy Louisiana Inc,1,69
Undetermined Company,1,69
Undetermined Company,1,345
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Entergy Louisiana Inc,1,69
Entergy Louisiana Inc,1,69
