Dam Name,County,State,River,Year Completed
COVE,MOFFAT,CO,CONWAY DRAW-TR,1950
OFFIELD,MOFFAT,CO,POT CREEK,1914
BASSET #2,MOFFAT,CO,VERMILLION CREEK-TR,1939
TAYLOR DRAW,RIO BLANCO,CO,WHITE RIVER,1984
HOUSE RESERVOIR,MOFFAT,CO,ANTONE CANYON,1952
Taylor Draw,Rio Blanco,CO,White River,1984
ASHLEY TWIN LAKES,Uintah,UT,SOUTH FORK OF ASHLEY CREEK,1920
ATWOOD LAKE,Duchesne,UT,ATWOOD CREEK,1950
BEAVER MEADOW,Summit,UT,LOST CREEK,1949
BIG SAND WASH,Duchesne,UT,BIG SAND WASH,1965
BROWN DUCK,Duchesne,UT,BROWN DUCK CREEK--OFFSTREAM,1929
BROWNE LAKE,Daggett,UT,BEAVER CREEK,1957
CROUSE,Uintah,UT,POT CREEK,1909
BULLOCK DRAW,Uintah,UT,BULLOCK DRAIN,1970
CHINA LAKE,Summit,UT,EAST FK SMITHS FK - OFFSTREAM,1954
CHEPETA LAKE,Duchesne,UT,WHITEROCKS RIVER,1944
CLEMENT LAKE,Duchesne,UT,CLEMENTS CREEK,1922
CLIFF LAKE (DUCHESNE),Duchesne,UT,WHITEROCKS RIVER,1957
CALDER (ZELPH),Uintah,UT,POT CREEK,1989
CRESCENT LAKE,Duchesne,UT,UINTAH RIVER,1927
EAST PARK,Uintah,UT,LITTLE BRUSH CREEK,1919
EAST TIMOTHY,Duchesne,UT,SWIFT CREEK,1951
FIVE POINT LAKE,Duchesne,UT,WEST FORK OF YELLOWSTONE CRK,1940
FOX LAKE,Duchesne,UT,SHALE CREEK,1927
GOOSE LAKE (UPPER),Uintah,UT,SOUTH FORK OF ASHLEY CREEK,1920
HANCOCK,Uintah,UT,PLEASANT VALLEY WASH,1966
OTTOSEN RESERVOIR,Uintah,UT,MONTES HOLLOW,1963
HELLER LAKE,Duchesne,UT,DRY GULCH CREEK,1925
HERMAN-SADLIER,Uintah,UT,ASHLEY CREEK,1963
JENNINGS,Duchesne,UT,PLEASANT VALLEY-OFF STREAM,1938
DEER LAKE,Duchesne,UT,SWIFT CREEK,1931
DRIFT LAKE,Duchesne,UT,YELLOWSTONE CREEK,1928
GRAHAM,Summit,UT,EAST FORK OF SMITH S FORK,1957
GREENS LAKE,Daggett,UT,LAKE CREEK,1900
BLUEBELL LAKE,Duchesne,UT,GARFIELD CREEK,1928
HOOP LAKE,Summit,UT,EAST FORK OF BEAVER CREEK,1939
ISLAND LAKE (DUCHESNE),Duchesne,UT,BROWN DUCK CREEK,1929
ISLAND LAKE (SUMMIT - BURNT FORK),Summit,UT,BURNT FORK CREEK,1928
KIDNEY LAKE,Duchesne,UT,BROWN DUCK CREEK,1929
LONG PARK (UINTAH),Uintah,UT,ASHLEY CREEK,1934
MOSLANDER,Summit,UT,BIG MUDDY CREEK,1882
CHAIN LAKE (LOWER),Duchesne,UT,KREBS CREEK,1929
MOCCASIN LAKE,Duchesne,UT,WHITEROCKS RIVER,1923
MONTES CREEK,Uintah,UT,MONTES CREEK,1937
OAKS PARK,Uintah,UT,BIG BRUSH CREEK,1938
PAPOOSE LAKE,Duchesne,UT,WHITEROCKS RIVER,1976
PARADISE PARK,Uintah,UT,PARADISE CREEK,1924
PELICAN LAKE,Uintah,UT,UINTA RIVER--OFFSTREAM,1967
SUPERIOR LAKE,Duchesne,UT,WEST FORK OF YELLOWSTONE,1933
TAMARACK LAKE,Summit,UT,MIDDLE FORK OF SHEEP CREEK,1939
SHEEP CREEK,Daggett,UT,SHEEP CREEK,1958
SPIRIT LAKE,Daggett,UT,MIDDLE FORK,1934
TWIN POTS,Duchesne,UT,WEST FK LAKE CREEK-OFFSTREAM,1931
CHAIN LAKE (UPPER),Duchesne,UT,KREBS CREEK,1921
WARNER (MATT),Uintah,UT,POT CREEK,1938
WATER LILY LAKE,Duchesne,UT,SWIFT CREEK,1920
FISH LAKE - ELIZABETH PASS,Summit,UT,FISH LAKE CREEK,1980
WHITEROCKS LAKE,Uintah,UT,WHITEROCKS RIVER,1957
WIGWAM,Duchesne,UT,WHITEROCKS RIVER,1936
BROUGH,Uintah,UT,WHITEROCKS RIVER--OFFSTREAM,1975
LONG PARK (DAGGETT),Daggett,UT,SHEEP CREEK,1980
JULIUS PARK,Uintah,UT,DRY FORK - OFFSTREAM,1974
COTTONWOOD,Uintah,UT,TRIB. TO UINTA RIVER,1982
BROWNS DRAW,Duchesne,UT,TRIB TO COTTONWOOD CREEK,1981
SF PHOSPHATES TAILINGS DAM,Uintah,UT,TRIB TO BIG BRUSHY CREEK,1973
ASHLEY VALLEY WASTEWATER,Uintah,UT,TRIBUTARY TO ASHLEY CREEK,1953
BONANZA POWER NORTH EVAPORATION POND,Uintah,UT,GREEN RIVER - OFFCHANNEL,1983
BONANZA POWER SOUTH EVAPORATION POND,Uintah,UT,GREEN RIVER - OFFCHANNEL,1983
BONANZA POWER RAW WATER POND,Uintah,UT,GREEN RIVER - OFFCHANNEL,1983
PARIETTE FLOOD CONTROL,Uintah,UT,PARIETTE DRAW,1979
GOOSE LAKE (LOWER),Uintah,UT,SOUTH FORK OF ASHLEY CREEK,1953
BROWNS PARK NATIONAL WILDLIFE REFUGE,Daggett,UT,GREEN RIVER--OFFSTREAM,
HANSEN NO.3 (GRANT),Duchesne,UT,ZIMMERMAN WASH - OFFSTREAM,1962
PARIETTE WEST DIKE,Uintah,UT,PARIETTE DRAW,1977
BOR STILLWATER (UPPER),Duchesne,UT,,1987
LAPOINT,Uintah,UT,OFF-CHANNEL,1985
HICKEN WILDLIFE POND,Duchesne,UT,,
RED WASH,Uintah,UT,OFF-CHANNEL DEEP CREEK,
ROOSEVELT CITY GOLF COURSE POND,Duchesne,UT,OFF CHANNEL,1992
GIBBONS POND,Uintah,UT,OFF CHANNEL SITE,1981
MIDVIEW,DUCHESNE,UT,DUCHESNE RIVER OS,1936
MOON LAKE,DUCHESNE,UT,LAKE FORK RIVER,1937
NORTH BOTTLE HOLLOW,UNITAH,UT,UNITA RIVER OS,1970
SOUTH BOTTLE HOLLOW,UNITAH,UT,UNITA RIVER OS,1970
BOR STARVATION,Duchesne,UT,STRAWBERRY RIVER,1970
MILK LAKE,Duchesne,UT,MILK CREEK,1937
DAGGETT LAKE,Daggett,UT,SOUTH FORK SHEEP CR,1932
STEINAKER,UINTAH,UT,OFFSTREAM,1960
FLAMING GORGE,DAGGETT,UT,GREEN RIVER,1963
CEDARVIEW,Duchesne,UT,TR-COTTONWOOD CREEK,1968
BOR STATELINE SUMMIT CO.,Summit,UT,E. FORK SMITHS FORK,1979
MARSH LAKE,Summit,UT,EAST FORK OF SMITHS FORK,1932
GUSHER DAM,Uintah,UT,,
TAILINGS POND,UINTAH,UT,,
RED FLEET,UNITAH,UT,BIG BRUSH CREEK,1979
STATELINE,SUMMIT,WY,EAST FORK OF SMITHS FORK RIVER,1978
MIDVIEW DIKE,DUCHESNE,UT,DUCHESNE RIVER OS,1937
STATELINE DIKE A,SUMMIT,UT,EAST FORK OF SMITHS FORK RIVER,1979
UPPER STILLWATER,DUCHESNE,UT,ROCK CREEK,1986
TIPPERARY,UINTA,WY,SMITHS FORK CREEK OFFSTREAM,1928
REED,UINTA,WY,SAGE CREEK,1960
GRAHAM,UINTA,WY,SMITH S FORK CREEK,1945
GUILD & DEAN,UINTA,WY,BIG MUDDY CREEK OFFSTREAM,1966
COTTONWOOD,UINTA,WY,COTTONWOOD & THREE MILE CKS,1919
PIEDMONT,UINTA,WY,BIG MUDDY CK,1902
BYRNE,UINTA,WY,W FORK BIG MUDDY CK,1939
WALL DEVELOPMENT COMPANY DAM,UINTA,WY,"QUARRY CRK, TR BLACKS FORK CRK",1949
VACHER,UINTA,WY,DROUN CREEK,1947
CLIFFORD F. GRAHAM,UINTA,WY,BRANCH OF SMITHS FORK CREEK,1961
PAINTER,UINTA,WY,PLEASANT VALLEY CREEK,1952
CROMPTON,UINTA,WY,PLEASANT VALLEY CREEK,1954
POWERS STOCK,UINTA,WY,BLACK ROCK DRAW,1965
GUILD,UINTA,WY,WEST MUDDY CREEK OFFSTREAM,1958
BROADBENT NO. 2,UINTA,WY,LITTLE BYRNE CREEK,1961
PATERSON LAKE,UINTA,WY,BLACKS FORK RIVER,1907
MOSLANDER,UINTA,WY,COLD SPRING OR FIFTEEN CREEK,1948
WASATCH - FIRST ENLARGEMENT,SWEETWATER,WY,LITTLE DRY CREEK,1938
ERIKSON,UINTA,WY,TWIN BUTTES CANAL,1902
MEEKS CABIN,UINTA,WY,BLACKS FORK RIVER,1970
BROADBENT ENLARGEMENT OF HEBER,UINTA,WY,"BROADBENT DTCH, LA CHAPELLE CR",1986
COW CREEK,SWEETWATER,WY,SHELL CREEK,1987
COYOTE,UINTA,WY,COYOTE SPRING,1962
FOSDICK,SWEETWATER,WY,LITTLE DRY CREEK,1907
HICKEY,UINTA,WY,ANT HOLLOW DRAW,1980
ISOM,UINTA,WY,"AUSTIN WASH, TR BLACK ROCK DRW",1976
POND 1,SWEETWATER,WY,TENNECO DRAW,1981
LACHAPELLE ENL. OF BEN RES.,UINTA,WY,EAST BRANCH LACHAPELLE CREEK,1997
TAILINGS POND,SWEETWATER,WY,,
YELLOWTAIL,BIG HORN,MT,BIGHORN RIVER,1965
ANITA,YELLOWSTONE,MT,OFFSTREAM STORAGE UTILIZING DIVERSIONS FROM THE YE,1936
YELLOWTAIL AFTERBAY,BIG HORN,MT,BIGHORN RIVER,1964
WILLOW CREEK,BIG HORN,MT,WILLOW CREEK,1941
FREY,YELLOWSTONE,MT,COULEE,1930
DREVES,YELLOWSTONE,MT,COULEE,1938
JONES (YELLOWSTONE),YELLOWSTONE,MT,BUFFALO CREEK,1936
CROW #78,YELLOWSTONE,MT,TR-FLY CREEK,1953
HARDIN SEWAGE LAGOON,BIG HORN,MT,TR-BIGHORN RIVER,1962
DRUM NO 2,CARBON,MT,SAGE CREEK,1950
ATKINS #2,BIG HORN,MT,TR-WHITMAN COULEE,1965
B-DOWNS #8,BIG HORN,MT,WILLIAMS COULEE,1974
