Name,County,State
"""Cannon Falls""",Goodhue,MN
"""Prescott""",Dakota,MN
"""Marine on St. Croix""",Washington,MN
"""Cannon Falls""",Goodhue,MN
"""Cannon Falls""",Goodhue,MN
"""Hugo""",Washington,MN
"""Cumberland""",Barron,WI
"""Chippewa Falls""",Chippewa,WI
"""Balsam Lake""",Polk,WI
"""Balsam Lake""",Polk,WI
"""Barron""",Barron,WI
"""Haugen""",Barron,WI
"""Eau Claire West""",Eau Claire,WI
"""Arland""",Barron,WI
"""Birchwood""",Washburn,WI
"""Wapogasset Lake""",Polk,WI
"""Wapogasset Lake""",Polk,WI
"""Somerset South""",St. Croix,WI
"""Cadott""",Chippewa,WI
"""Stanley""",Chippewa,WI
"""Stanley""",Chippewa,WI
"""Lublin NW""",Taylor,WI
"""Lublin NW""",Taylor,WI
"""Chetek""",Barron,WI
"""Chippewa Falls""",Chippewa,WI
"""Medford NW""",Taylor,WI
"""Jump River""",Taylor,WI
"""Somerset North""",St. Croix,WI
"""Somerset North""",St. Croix,WI
"""Rock Falls""",Dunn,WI
"""Rock Falls""",Dunn,WI
"""Medford NW""",Taylor,WI
"""Hawkins""",Rusk,WI
"""Jump River""",Taylor,WI
"""Simes Creek""",Clark,WI
"""Turtle Lake""",Polk,WI
"""Kennan NW""",Rusk,WI
"""Gilman""",Taylor,WI
"""Mondeaux Dam""",Taylor,WI
"""Owen""",Clark,WI
"""Pennington""",Price,WI
"""Pennington""",Price,WI
"""Bob Lake""",Chippewa,WI
"""Spring Valley""",Pierce,WI
"""Price""",Eau Claire,WI
"""Strum""",Trempealeau,WI
"""Poskin""",Barron,WI
"""Menomonie North""",Dunn,WI
"""Menomonie North""",Dunn,WI
"""Thornapple""",Rusk,WI
"""Medford NW""",Taylor,WI
"""Chippewa Falls""",Chippewa,WI
"""Chippewa Falls""",Chippewa,WI
"""Jump River Fire Tower NE""",Price,WI
"""Merrillan""",Jackson,WI
"""Merrillan""",Jackson,WI
"""River Falls East""",Pierce,WI
"""River Falls West""",Pierce,WI
"""Jump River Fire Tower""",Taylor,WI
"""Flambeau Ridge""",Rusk,WI
"""Medford NW""",Taylor,WI
"""Medford NW""",Taylor,WI
"""Jump River""",Taylor,WI
"""Ella""",Pepin,WI
"""Plum City""",Pierce,WI
"""Glenwood City""",St. Croix,WI
"""Glenwood City""",St. Croix,WI
"""Glenwood City""",St. Croix,WI
"""Jewett""",St. Croix,WI
"""Glenwood City""",St. Croix,WI
"""Glenwood City""",St. Croix,WI
"""Pleasantville""",Trempealeau,WI
"""Glenwood City""",St. Croix,WI
"""Weston""",Dunn,WI
"""Weston""",Dunn,WI
"""Red Wing""",Pierce,WI
"""Falls City""",Dunn,WI
"""Corinth""",Marathon,WI
"""Cornell""",Chippewa,WI
"""Cornell""",Chippewa,WI
"""Phillips""",Price,WI
"""Ladysmith""",Rusk,WI
"""Ladysmith""",Rusk,WI
"""Dallas""",Barron,WI
"""Edgewater""",Sawyer,WI
"""Augusta West""",Eau Claire,WI
"""Augusta West""",Eau Claire,WI
"""Eau Claire West""",Eau Claire,WI
"""Jump River""",Taylor,WI
"""Elk Creek Lake""",Dunn,WI
"""Elk Creek Lake""",Dunn,WI
"""Fairchild""",Clark,WI
"""Fall Creek""",Eau Claire,WI
"""Fall Creek""",Eau Claire,WI
"""Gilman""",Taylor,WI
"""Gilman""",Taylor,WI
"""Perkinstown""",Taylor,WI
"""Red Wing""",Pierce,WI
"""Glenwood City""",St. Croix,WI
"""Glenwood City""",St. Croix,WI
"""Chippewa Falls""",Chippewa,WI
"""Chippewa Falls""",Chippewa,WI
"""Eau Claire West""",Eau Claire,WI
"""Hawkins""",Rusk,WI
"""Rock Dam Lake""",Clark,WI
"""Cornell""",Chippewa,WI
"""Jump River""",Taylor,WI
"""Stetsonville""",Clark,WI
"""Moose Ear Lake""",Barron,WI
"""Big Round Lake""",Polk,WI
"""Wildcat Mound""",Clark,WI
"""Trade Lake""",Polk,WI
"""River Falls West""",Pierce,WI
"""Holcombe""",Chippewa,WI
"""Cumberland""",Barron,WI
"""Osseo""",Trempealeau,WI
"""Osseo""",Trempealeau,WI
"""Big Falls Dam""",Rusk,WI
"""Mead Lake West""",Clark,WI
"""Medford""",Taylor,WI
"""Somerset South""",St. Croix,WI
"""Mondovi""",Buffalo,WI
"""Colfax North""",Dunn,WI
"""Mondovi""",Buffalo,WI
"""Colfax South""",Dunn,WI
"""Mondeaux Dam""",Taylor,WI
"""Somerset South""",St. Croix,WI
"""Somerset South""",St. Croix,WI
"""Mikana""",Rusk,WI
"""Martell""",Pierce,WI
"""Martell""",Pierce,WI
"""Diamond Bluff West""",Pierce,WI
"""Maiden Rock""",Pierce,WI
"""Martell""",Pierce,WI
"""Diamond Bluff East""",Pierce,WI
"""Dorrity Creek""",Barron,WI
"""Wabasha North""",Pepin,WI
"""Rib River Lookout Tower""",Taylor,WI
"""Weyerhaeuser""",Rusk,WI
