Hub Height (m),Wind Speed (m/s)
70,6.55
70,6.56
70,6.55
70,6.53
70,6.39
70,7.12
70,6.53
70,6.58
70,6.56
70,7.14
70,6.56
70,6.55
70,6.98
70,7.15
70,6.91
70,7.04
70,6.9
70,6.99
70,7.11
70,7.25
70,7.03
70,6.18
70,6.69
70,7.32
70,7.31
70,6.15
70,6.97
70,7.36
70,6.72
70,7.36
70,7.35
70,6.86
70,6.14
70,6.18
70,6.2
70,6.18
70,6.83
70,7.22
70,6.69
70,6.57
70,6.65
70,6.52
70,6.99
70,7.32
70,6.26
70,6.28
70,6.53
70,6.72
70,6.7
70,6.28
70,6.28
70,6.61
70,6.63
70,7.05
70,7.25
70,7.31
70,6.2
70,6.66
70,6.65
70,6.45
70,6.32
70,6.11
70,6.24
70,6.57
70,6.99
70,6.3
70,6.45
70,6.11
70,6.62
70,6.88
70,6.9
70,6.97
70,6.55
70,6.46
70,6.23
70,6.32
70,6.76
70,6.41
70,6.71
70,6.43
70,6.12
70,6.2
70,6.47
70,6.52
70,6.54
70,6.26
70,6.14
70,6.53
70,6.74
70,6.67
70,6.44
70,5.67
70,5.69
70,6.16
70,6.35
70,6.37
70,6.69
70,6.55
70,6.81
70,6.42
70,6.67
70,6.37
70,5.68
70,5.66
70,5.69
70,6.07
70,6.34
70,6.44
70,6.69
70,6.73
70,6.72
70,6.61
70,6.27
70,6.08
70,6.25
70,6.38
70,6.7
70,6.76
70,6.61
70,6.62
70,6.7
70,6.63
70,5.75
70,6.14
70,6.13
70,6.16
70,6.21
70,5.73
70,6.11
70,6.45
70,6.13
70,6.55
70,6.64
70,6.36
70,6.41
70,6.67
70,6.18
70,6.17
70,6.09
70,6.55
70,6.25
70,6.15
70,6.56
70,6.34
70,6.65
70,6.2
70,6.13
70,5.81
70,5.78
70,5.64
70,6.49
70,6.59
70,6.8
70,6.61
70,6.16
70,5.73
70,5.67
70,6.23
70,6.54
70,6.47
70,6.22
70,6.33
70,6.55
70,5.77
70,6.59
70,6.43
70,6.52
70,6.71
70,6.19
70,5.85
70,6.36
70,6.58
70,6.59
70,6.21
70,6.26
70,6.27
70,6.68
70,5.67
70,6.7
70,6.06
70,5.72
70,5.91
70,6.57
70,6.38
70,6.46
70,5.72
70,6.17
70,6.2
70,5.89
70,5.79
70,5.72
70,5.9
70,6
70,5.67
70,6.12
70,6.39
70,6.2
70,6.17
70,6.73
70,5.71
70,6.18
70,6.35
70,6.07
70,5.73
70,5.89
70,6.58
70,6.84
70,7.02
70,7.05
70,6.38
70,5.7
70,5.7
70,5.66
70,6.16
70,5.95
70,5.73
70,5.88
70,5.66
70,5.98
70,5.97
70,6.2
70,6.67
70,6.16
70,6.27
70,6.29
70,6.39
70,6.65
70,5.67
70,6.54
70,6.96
70,5.64
70,6.2
70,5.64
70,5.84
70,5.91
70,6.29
70,6.36
70,6.61
70,6.81
70,6.54
70,7.21
70,5.67
70,5.66
70,5.76
70,5.72
70,6.14
70,5.78
70,6.22
70,6.64
70,6.75
70,6.85
70,6.45
70,6.52
70,6.48
70,5.73
70,5.61
70,6.15
70,6.77
70,6.23
70,6.24
70,6.23
70,6.14
70,6.65
70,5.69
70,5.7
70,5.69
70,5.8
70,5.69
70,5.95
70,6.33
70,6.74
70,6.56
70,6.95
70,6.03
70,7.22
70,6.18
70,6.34
70,6.73
70,6.68
70,5.92
70,6.07
70,5.71
70,5.83
70,5.85
70,5.75
70,5.81
70,5.78
70,6.22
70,6.29
70,6.66
70,6.89
70,6.3
70,5.61
70,5.26
70,5.7
70,6.23
70,6.62
70,7.36
70,6.53
70,7.05
70,7.51
70,6.16
70,5.29
70,5.71
70,5.85
70,5.67
70,6.01
70,5.75
70,6.2
70,6.28
70,6.34
70,6.41
70,6.78
70,6.32
70,5.72
70,5.97
70,6.75
70,6.49
70,6.95
70,6.15
70,6.13
70,6.6
70,5.94
70,6.11
70,5.77
70,6.14
70,6.14
70,6.14
70,6.13
70,6.21
70,6.39
70,6.45
70,6.69
70,6.11
70,5.61
70,6.08
70,6.38
70,5.39
70,5.55
70,5.74
70,6.76
70,7.08
70,7.2
70,6.7
70,6.71
70,5.95
70,5.84
70,5.37
70,5.56
70,5.76
70,5.67
70,5.72
70,6.11
70,6.3
70,6.58
70,6.65
70,6.35
70,6.27
70,5.45
70,6.34
70,6.22
70,5.74
70,5.28
70,5.46
70,5.7
70,6.71
70,6.69
70,6.64
70,7.05
70,7.27
70,6.72
70,6.16
70,6.72
70,6.64
70,5.95
70,5.64
70,5.9
70,6.3
70,5.5
70,5.92
70,5.66
70,5.69
70,5.82
70,6.14
70,6.55
70,6.3
70,5.91
70,6.05
70,4.78
70,5.94
70,6.26
70,7.15
70,6.28
70,6.52
70,6.71
70,5.98
70,5.58
70,5.75
70,5.26
70,6.2
70,4.79
70,6.17
70,5.68
70,6.16
70,6.12
70,6.47
70,6.64
70,6.52
70,5.86
70,5.89
70,5.24
70,6.28
70,6.75
70,6.05
70,5.99
