State Office,District,Field Office,Sub Office,DO Code,FO Code,State,Acres
California,N/A,Hollister,N/A,CA190,N/A,California,674.01755148694
California,N/A,Hollister,N/A,CA190,N/A,California,332.24497500150
California,California Desert,Ridgecrest,N/A,CA600,CA6508,Nevada,35.55346757639
California,N/A,Bakersfield,N/A,CA160,N/A,California,429.39350049683
Nevada,N/A,Ely,N/A,NV040,N/A,Nevada,81.47870513142
California,California Desert,Ridgecrest,N/A,CA600,CA6508,California,62.84106791675
Nevada,N/A,Ely,N/A,NV040,N/A,Nevada,469.43503421836
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,1108.93709358313
California,California Desert,Ridgecrest,N/A,CA600,CA6508,California,421.19278731672
California,N/A,Bakersfield,N/A,CA160,N/A,California,1209.35258277029
California,California Desert,Ridgecrest,N/A,CA600,CA6508,California,12.62598768921
California,California Desert,Ridgecrest,N/A,CA600,CA6508,Nevada,17.73284347494
California,N/A,Bakersfield,N/A,CA160,N/A,California,757.65119399715
California,N/A,Bakersfield,N/A,CA160,N/A,California,21.84580787079
California,N/A,Bakersfield,N/A,CA160,N/A,California,50.65513541458
California,N/A,Bakersfield,N/A,CA160,N/A,California,38.19069099149
California,N/A,Bakersfield,N/A,CA160,N/A,California,36.14646365329
California,N/A,Bishop,N/A,CA170,N/A,California,12905.83245228748
California,California Desert,El Centro,N/A,CA600,CA6708,California,2077.14042544473
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,269.88732086815
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,169.32642317713
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,139366.30108665628
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,19007.92481933295
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,63841.20077100972
California,California Desert,Barstow,N/A,CA600,CA6808,California,3.17397227835
California,California Desert,Barstow,N/A,CA600,CA6808,California,24.06025422538
California,California Desert,Barstow,N/A,CA600,CA6808,Nevada,69.52701529221
California,California Desert,Barstow,N/A,CA600,CA6808,Nevada,120.56953222713
California,California Desert,El Centro,N/A,CA600,CA6708,California,5182.91824706337
California,California Desert,Barstow,N/A,CA600,CA6808,California,669.07171895944
California,California Desert,Barstow,N/A,CA600,CA6808,California,629.57597880595
California,California Desert,Barstow,N/A,CA600,CA6808,California,634.68282236326
California,California Desert,Ridgecrest,N/A,CA600,CA6508,California,811.10317733483
California,California Desert,Barstow,N/A,CA600,CA6808,California,616.79893847683
California,California Desert,Barstow,N/A,CA600,CA6808,California,1236.97807779586
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,115496.20825449485
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,34642.93529541473
California,California Desert,El Centro,N/A,CA600,CA6708,California,3811.99111743145
California,California Desert,El Centro,N/A,CA600,CA6708,California,157.09218289519
California,California Desert,Ridgecrest,N/A,CA600,CA6508,California,10179.53645548047
California,California Desert,Ridgecrest,N/A,CA600,CA6508,California,672.54619101660
California,California Desert,Ridgecrest,N/A,CA600,CA6508,California,70.15317260138
California,California Desert,Ridgecrest,N/A,CA600,CA6508,Nevada,1.97530431728
California,California Desert,El Centro,N/A,CA600,CA6708,California,980.73105205875
California,N/A,Bakersfield,N/A,CA160,N/A,California,3441.28831478972
California,N/A,Bishop,N/A,CA170,N/A,California,1873.13993425744
California,N/A,Bishop,N/A,CA170,N/A,California,12389.42922762957
California,N/A,Bishop,N/A,CA170,N/A,California,1.25573853136
California,N/A,Bishop,N/A,CA170,N/A,California,6438.20405356704
California,N/A,Bishop,N/A,CA170,N/A,California,11.93063254148
California,N/A,Bishop,N/A,CA170,N/A,California,9.60654091753
California,California Desert,El Centro,N/A,CA600,CA6708,California,451.50286122499
California,N/A,Bishop,N/A,CA170,N/A,California,2165.63361671017
California,California Desert,El Centro,N/A,CA600,CA6708,California,123.57568250474
Nevada,N/A,Ely,N/A,NV040,N/A,Nevada,5358.05736336324
California,California Desert,El Centro,N/A,CA600,CA6708,California,680.41680235136
Nevada,N/A,Ely,N/A,NV040,N/A,Nevada,9992.73453816426
Nevada,N/A,Ely,N/A,NV040,N/A,Nevada,36755.22803487162
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,8.59901474218
California,California Desert,Needles,N/A,CA600,CA6908,California,38.56037722585
California,California Desert,Needles,N/A,CA600,CA6908,California,4.08671665913
Nevada,N/A,Ely,N/A,NV040,N/A,Nevada,31031.03017642952
California,California Desert,El Centro,N/A,CA600,CA6708,California,28.55124646013
California,California Desert,El Centro,N/A,CA600,CA6708,California,7.68706266935
California,California Desert,El Centro,N/A,CA600,CA6708,California,15.29319794550
California,California Desert,Needles,N/A,CA600,CA6908,California,4.57975947443
California,California Desert,Palm Springs-South Coast,N/A,CA600,CA6608,California,375.12530710132
California,California Desert,Palm Springs-South Coast,N/A,CA600,CA6608,California,2144.93604649183
California,California Desert,Palm Springs-South Coast,N/A,CA600,CA6608,California,5.07702055932
California,California Desert,Ridgecrest,N/A,CA600,CA6508,California,47.37596818908
California,California Desert,Ridgecrest,N/A,CA600,CA6508,California,141.37816114710
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,429.24650909274
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,43923.30626670725
Idaho,Boise,Owyhee,N/A,ID100,ID1300,Oregon,56.93939916832
California,California Desert,Ridgecrest,N/A,CA600,CA6508,California,66.10521736879
California,California Desert,Ridgecrest,N/A,CA600,CA6508,California,51.32775277930
California,California Desert,Ridgecrest,N/A,CA600,CA6508,California,298.39803680696
California,California Desert,Ridgecrest,N/A,CA600,CA6508,California,167.04952564896
California,California Desert,Ridgecrest,N/A,CA600,CA6508,California,28.86951446929
California,California Desert,Ridgecrest,N/A,CA600,CA6508,California,26.09578291677
California,N/A,Bishop,N/A,CA170,N/A,California,9304.31189366395
California,N/A,Bishop,N/A,CA170,N/A,California,215.18277572475
Nevada,N/A,Ely,N/A,NV040,N/A,Nevada,323.87866665165
California,N/A,Bishop,N/A,CA170,N/A,California,5475.05700143849
California,N/A,Bishop,N/A,CA170,N/A,California,70.18891146058
California,N/A,Bishop,N/A,CA170,N/A,California,2.88482130467
California,N/A,Bishop,N/A,CA170,N/A,California,455.75325246718
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,340.97167758037
Idaho,Twin Falls,Shoshone,N/A,ID200,ID2300,Idaho,3.90961571901
California,N/A,Bakersfield,N/A,CA160,N/A,California,15827.70090750502
California,N/A,Bakersfield,N/A,CA160,N/A,California,120.09325600307
Nevada,N/A,Las Vegas,N/A,NV050,N/A,Nevada,6.55368797111
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,148.97143930949
California,N/A,Folsom,N/A,CA180,N/A,California,5.73261939238
California,N/A,Arcata,N/A,CA330,N/A,California,162.20759670860
California,N/A,Bakersfield,N/A,CA160,N/A,California,4623.04732845972
California,N/A,Bakersfield,N/A,CA160,N/A,California,8.86796044766
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,41524.26602779546
California,N/A,Bishop,N/A,CA170,N/A,California,7611.30930451697
California,N/A,Bishop,N/A,CA170,N/A,California,16.69678036755
Nevada,N/A,Las Vegas,N/A,NV050,N/A,Nevada,294.93324410517
Oregon/Washington,Vale,Baker,N/A,OR030,OR0358,Oregon,142.68890878413
California,N/A,Bishop,N/A,CA170,N/A,California,7042.37350468184
California,N/A,Bishop,N/A,CA170,N/A,California,8306.29137251313
Nevada,N/A,Las Vegas,N/A,NV050,N/A,Nevada,37.13063821144
Idaho,Twin Falls,Shoshone,N/A,ID200,ID2300,Idaho,7.80480708922
California,N/A,Bishop,N/A,CA170,N/A,California,363.20801710840
California,N/A,Bishop,N/A,CA170,N/A,California,1.94681669098
California,N/A,Bishop,N/A,CA170,N/A,California,362.84411396864
California,N/A,Bishop,N/A,CA170,N/A,California,999.03226214863
California,N/A,Bishop,N/A,CA170,N/A,California,700.08096868630
Idaho,Twin Falls,Shoshone,N/A,ID200,ID2300,Idaho,3611.10468640063
California,N/A,Bishop,N/A,CA170,N/A,California,6447.23323919905
California,N/A,Bishop,N/A,CA170,N/A,California,23.35557111663
California,N/A,Bishop,N/A,CA170,N/A,California,2042.97199443751
California,N/A,Hollister,N/A,CA190,N/A,California,2340.39397641290
California,N/A,Hollister,N/A,CA190,N/A,California,1007.93474587186
Nevada,N/A,Las Vegas,N/A,NV050,N/A,Nevada,3958.17349120076
Nevada,N/A,Las Vegas,N/A,NV050,N/A,Nevada,386.81311120334
Nevada,N/A,Las Vegas,N/A,NV050,N/A,Nevada,5.23728939056
Nevada,N/A,Las Vegas,N/A,NV050,N/A,Nevada,42.22507413375
Nevada,N/A,Las Vegas,N/A,NV050,N/A,Nevada,345.14116665463
Nevada,N/A,Las Vegas,N/A,NV050,N/A,Nevada,1213.99611963314
Nevada,N/A,Las Vegas,N/A,NV050,N/A,Nevada,2992.41171986972
Nevada,N/A,Las Vegas,N/A,NV050,N/A,Nevada,15.10250977076
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,2047.69109580985
California,N/A,Bishop,N/A,CA170,N/A,California,5313.97437838667
California,N/A,Hollister,N/A,CA190,N/A,California,6591.04770619357
California,N/A,Hollister,N/A,CA190,N/A,California,1487.90812808330
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,1195.97062122100
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,17202.02426755854
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,2059.26394228679
Nevada,N/A,Carson City,N/A,NV030,N/A,Nevada,80528.79873427011
Nevada,Carson City,Carson City,N/A,NV030,N/A,California,2467.37747626457
Nevada,Carson City,Carson City,N/A,NV030,N/A,California,492.52285359393
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,3636.44817659528
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,84954.23161162851
California,N/A,Bakersfield,N/A,CA160,N/A,California,1404.06615048585
California,N/A,Bakersfield,N/A,CA160,N/A,California,17608.03961995901
California,N/A,Bishop,N/A,CA170,N/A,California,16215.77630245343
California,N/A,Bishop,N/A,CA170,N/A,California,23579.84092286550
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,3.38804379190
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,7.36061228109
Nevada,N/A,Battle Mountain,N/A,NV060,N/A,Nevada,69492.68641854523
Nevada,N/A,Carson City,N/A,NV030,N/A,California,105.01847800512
Nevada,N/A,Carson City,N/A,NV030,N/A,California,10.87898002381
Nevada,N/A,Carson City,N/A,NV030,N/A,Nevada,9.41282511768
California,California Desert,Barstow,N/A,CA600,CA6808,California,95886.12784865921
California,California Desert,Barstow,N/A,CA600,CA6808,California,40052.64439970245
California,California Desert,Barstow,N/A,CA600,CA6808,California,111837.79698245465
California,California Desert,Barstow,N/A,CA600,CA6808,California,100132.53549844718
Oregon/Washington,Prineville,Deschutes,N/A,OR050,OR0568,Oregon,66.95807233475
Oregon/Washington,Vale,Jordan,N/A,OR030,OR0368,Oregon,27.98103155176
California,California Desert,Palm Springs-South Coast,N/A,CA600,CA6608,California,11152.92320431526
California,N/A,Bakersfield,N/A,CA160,N/A,California,14817.32347761188
California,N/A,Bakersfield,N/A,CA160,N/A,California,40522.56779812429
California,N/A,Folsom,N/A,CA180,N/A,California,42.51970289265
California,N/A,Surprise,N/A,CA370,N/A,California,612.73320499162
California,N/A,Bishop,N/A,CA170,N/A,California,12094.52492975614
California,N/A,Bishop,N/A,CA170,N/A,California,53999.68652441460
California,N/A,Bishop,N/A,CA170,N/A,California,19740.46573821374
Oregon/Washington,Prineville,Deschutes,N/A,OR050,OR0568,Oregon,2.09821810200
Idaho,Twin Falls,Shoshone,N/A,ID200,ID2300,Idaho,5.11822482601
California,N/A,Bishop,N/A,CA170,N/A,California,14668.20155094940
