Facility,Status,Capacity (MW),Location,Owner,Developer,Energy Purchaser,Turbine Mfg.,No. of Turbines,Commercial Online Date,Wind Power Class,Wind Speed Range - 80m,Wind Speed Range - 100m,Offshore Wind Speed Range - 90m
Arends Brothers,In Service,0.1,Ashmore IL,,,,Northern Power Systems,1,2009,2,6.5 - 7,6.5 - 7,
CCRTA,In Service,0.1,Dennis MA,CCRTA,,CCRTA,Northern Power Systems,1,2010,3,6.5 - 7,7 - 7.5,
Hanover,Under Construction,0.25,Hanover MA,City of Hanover,City of Hanover,,Siva,1,0,2,5.5 - 6,6 - 6.5,
Pacific Wind,In Service,142.25,Rosamond CA,EnXco,EnXco,San Diego Gas & Electric,REpower,69,2012,3,5 - 5.5,5.5 - 6,
Wausau High School,In Service,0.1,Wausau WI,,,,Northern Power Systems,1,2009,1,6 - 6.5,6 - 6.5,
GSA,In Service,0.2,Jackman ME,GSA,,GSA,Northern Power Systems,2,2010,,,,
,In Service,3,,City of Summerside,,,Vestas,4,2009,,,,
Carsten Farms,In Service,0.2,Shelby IA,,,,Northern Power Systems,2,2009,4,7.5 - 8,8 - 8.5,
Highland North,In Service,75,Sidman PA,EverPower,EverPower,Merchant,Nordex,2.5,2012,4,6.5 - 7,6.5 - 7,
Marengo II,In Service,70.2,,PacifiCorp,RES Americas,PacifiCorp,Vestas,39,2008,5,7 - 7.5,7 - 7.5,
AVTEC,In Service,0.1,Seward AK,AVTEC,,AVTEC,Northern Power Systems,1,2010,1,,,
Alaska Village Cooperative,In Service,0.3,Toksook Bay AK,Alaska Village Elec Coop,Kotzebue Electric Assn Inc,Alaska Village Elec Coop,Northern Power Systems,3,2005,5,,,
Auwahi Wind,In Service,24,Maui HI,BP Wind Energy / Sempra Energy,Sempra Generation,Maui Electric Co,Siemens,8,2012,6,,,
Banner Wind Project,In Service,0.9,Nome AK,Bering Straits Native Corporation and Sitnasuak Native Corporation,Western Community Energy,Nome Joint Utilities,Entegrity,18,2008,2,,,
Big Wind Power Project (Lanai),Proposed,400,Lanai Island HI,,,,Undetermined,170,0,2,,,
Chevak,In Service,0.4,Chevak 17 miles east of Hooper Bay AK,Chevak,STG Inc.,Chevak,Northern Power Systems,4,2009,3,,,
Delta Junction,In Service,0.1,South of Delta Junction AK,Alaska Environmental Power,Alaska Environmental Power,,DES,1,2008,1,,,
Eva Creek Wind Project,In Service,24.6,NE corner of Denali Natl Park AK,Golden Valley Electric Association,Golden Valley Electric Association,Golden Valley Electric Association,REpower,12,2012,5,,,
Field's Point Wastewater Treatment Facility (Narragansett Bay Commission),In Service,4.5,Providence RI,Gilbane Building Company,Narragansett Bay Commission,Field's Point,Goldwind,3,2012,2,,,
Fire Island Wind Project,In Service,17.6,Fire Island AK,CIRI,Fire Island Wind LLC,Chugach,GE Energy,11,2012,5,,,
Hampton Roads Demonstration Project,Proposed,15,Chesapeake Bay VA,,Virginia State Government,,,3,0,4,,,
Hawaii Renewable,In Service,10.56,Near Upolu Point Big Island HI,EnXco,EnXco,Hawaii Electric Light Co.,Vestas,16,2006,6,,,
Hooper Bay,In Service,0.3,Hooper Bay AK,Alaska Village Electric Coop (AVEC),Alaska Village Electric Coop (AVEC),Alaska Village Electric Coop (AVEC),DES,3,2008,5,,,
Hyannis Country Garden,In Service,0.1,Hyannis MA,Hyannis Country Garden,,Hyannis Country Garden,DES,1,2008,4,,,
Kaheawa,In Service,30,Maalaea Harbor- Maui HI,UPC Wind Partners & Makani Nui Associates,UPC Wind Partners & Makani Nui Associates,Maui Electric Co.,GE Energy,20,2006,6,,,
Kaheawa Wind II,In Service,21,Wailuku HI,First Wind,First Wind,Maui Electric Co,GE Energy,14,2012,7,,,
Kahuku Wind,In Service,30,Adjacent to Kahuku HI,First Wind,First Wind,Hawaiian Electric Co Inc,Clipper,12,2011,3,,,
Kawailoa Wind,In Service,69,Haleiwa HI,First Wind,First Wind,Hawaii Electric Co,Siemens,30,2012,1,,,
Kodiak Island Wind Farm,In Service,4.5,Kodiak Island AK,Kodiak,Kodiak,Kodiak,GE Energy,3,2009,6,,,
Kotzebue Wind Project,In Service,1.8,Kotzebue AK,Kotzebue Electric Assn Inc,Kotzebue Electric Assn Inc,Kotzebue Electric Assn Inc,EWT Americas,2,2012,2,,,
Kotzebue Wind Project,In Service,0.1,Kotzebue AK,Kotzebue Elec. Assoc.,Kotzebue Electric Assn Inc,Kotzebue Elec. Assoc.,Northern Power Systems Northwind,1,2002,2,,,
Kotzebue Wind Project,In Service,0.15,Kotzebue AK,Kotzebue Elec. Assoc.,Kotzebue Electric Assn Inc,Kotzebue Elec. Assoc.,Integrity Wind Systems,3,2006,2,,,
Kotzebue Wind Project,In Service,0.07,Kotzebue AK,Kotzebue Elec. Assoc.,Kotzebue Electric Assn Inc,Kotzebue Elec. Assoc.,Vestas,1,2006,2,,,
Kotzebue Wind Project Phase I,In Service,0.15,Kotzebue AK,Kotzebue Electric Assoc.,Kotzebue Electric Assn Inc,Kotzebue Electric Assoc.,Atlantic Orient Co.,3,1997,2,,,
Kotzebue Wind Project Phase II & III,In Service,0.35,Kotzebue AK,Kotzebue Electric Assoc.,Kotzebue Electric Assn Inc,Kotzebue Electric Assoc.,Atlantic Orient Co.,7,1999,2,,,
