Site ID,Fraction of Usable Area,Power Curve,Capacity (MW),Wind Speed (m/s),Capacity Factor
126486,1.0,offshore,16.0,6.67,0.286
7390,1.0,offshore,16.0,7.03,0.279
97603,0.0977,3,2.0,6.03,0.305
98377,0.1271,3,4.0,6.16,0.323
100151,0.7906,3,14.0,5.1,0.227
100152,1.0,3,16.0,5.51,0.25
82743,1.0,2,16.0,7.64,0.424
100153,1.0,3,16.0,5.85,0.273
100378,0.4154,3,8.0,5.25,0.244
100379,1.0,3,16.0,5.68,0.26
100380,1.0,3,16.0,5.87,0.276
100604,0.2854,3,6.0,6.0,0.303
100808,0.8426,3,14.0,6.25,0.305
100809,0.7518,3,14.0,6.2,0.305
100810,0.9585,3,16.0,6.16,0.295
75428,1.0,2,16.0,7.87,0.448
101008,0.6889,2,12.0,6.32,0.279
101009,0.6798,2,12.0,6.31,0.278
101010,0.5604,2,10.0,6.29,0.281
101011,0.9772,3,16.0,6.26,0.305
101216,0.5191,3,10.0,6.3,0.323
98634,0.4026,3,8.0,6.11,0.313
84248,1.0,2,16.0,7.76,0.438
99920,1.0,3,16.0,5.82,0.275
101012,0.9907,3,16.0,6.26,0.305
89929,0.4209,3,8.0,5.71,0.279
90418,0.4115,2,8.0,6.15,0.279
117264,0.9513,3,16.0,5.88,0.251
126490,1.0,offshore,16.0,7.02,0.311
126495,1.0,offshore,16.0,4.86,0.172
126497,1.0,offshore,16.0,7.16,0.317
126499,1.0,offshore,16.0,5.97,0.254
126508,1.0,offshore,16.0,7.01,0.311
126517,1.0,offshore,16.0,5.91,0.206
126547,1.0,offshore,16.0,6.53,0.268
126550,1.0,offshore,16.0,6.54,0.267
126491,1.0,offshore,16.0,5.1,0.176
126546,1.0,offshore,16.0,6.39,0.259
126510,1.0,offshore,16.0,5.94,0.207
126511,1.0,offshore,16.0,6.16,0.219
126514,1.0,offshore,16.0,6.15,0.213
126507,1.0,offshore,16.0,5.76,0.194
126057,1.0,offshore,16.0,6.49,0.241
125197,0.0257,3,2.0,5.73,0.319
126197,1.0,offshore,16.0,6.63,0.254
126238,1.0,offshore,16.0,7.57,0.329
126265,1.0,offshore,16.0,7.66,0.336
126266,1.0,offshore,16.0,7.02,0.284
126287,1.0,offshore,16.0,7.6,0.331
126409,1.0,offshore,16.0,6.18,0.232
126475,1.0,offshore,16.0,7.57,0.335
126500,1.0,offshore,16.0,7.17,0.302
126524,1.0,offshore,16.0,5.26,0.165
126526,1.0,offshore,16.0,5.04,0.149
126527,1.0,offshore,16.0,5.25,0.163
126529,1.0,offshore,16.0,4.92,0.139
126542,1.0,offshore,16.0,5.37,0.175
126543,1.0,offshore,16.0,5.52,0.187
126549,1.0,offshore,16.0,5.43,0.183
126552,1.0,offshore,16.0,5.28,0.173
126553,1.0,offshore,16.0,5.41,0.184
126554,1.0,offshore,16.0,5.56,0.193
126555,1.0,offshore,16.0,7.66,0.338
126556,1.0,offshore,16.0,5.04,0.162
126558,1.0,offshore,16.0,5.36,0.184
126559,1.0,offshore,16.0,5.52,0.191
126560,1.0,offshore,16.0,5.68,0.2
126562,1.0,offshore,16.0,5.15,0.179
126563,1.0,offshore,16.0,5.26,0.182
126564,1.0,offshore,16.0,5.49,0.191
126565,1.0,offshore,16.0,5.33,0.187
126566,1.0,offshore,16.0,7.1,0.304
126567,1.0,offshore,16.0,5.57,0.189
126569,1.0,offshore,16.0,5.54,0.192
126570,1.0,offshore,16.0,5.6,0.19
126571,1.0,offshore,16.0,5.74,0.198
126572,1.0,offshore,16.0,5.88,0.211
126573,1.0,offshore,16.0,6.2,0.237
126574,1.0,offshore,16.0,6.4,0.251
126575,1.0,offshore,16.0,6.47,0.258
126576,1.0,offshore,16.0,5.59,0.192
126577,1.0,offshore,16.0,5.63,0.192
126580,1.0,offshore,16.0,6.13,0.231
126581,1.0,offshore,16.0,6.25,0.243
126582,1.0,offshore,16.0,6.39,0.253
126583,1.0,offshore,16.0,5.68,0.196
126584,1.0,offshore,16.0,5.66,0.195
126588,1.0,offshore,16.0,6.29,0.246
126589,1.0,offshore,16.0,6.33,0.26
126591,1.0,offshore,16.0,5.67,0.197
126592,1.0,offshore,16.0,5.7,0.2
126593,1.0,offshore,16.0,5.93,0.216
126594,1.0,offshore,16.0,6.13,0.232
126595,1.0,offshore,16.0,6.25,0.242
126596,1.0,offshore,16.0,6.34,0.251
126601,1.0,offshore,16.0,5.79,0.207
126604,1.0,offshore,16.0,6.15,0.237
126605,1.0,offshore,16.0,6.28,0.247
126606,1.0,offshore,16.0,6.59,0.28
126607,1.0,offshore,16.0,6.32,0.262
126608,1.0,offshore,16.0,5.94,0.232
126624,1.0,offshore,16.0,6.26,0.256
126625,1.0,offshore,16.0,5.86,0.225
126627,1.0,offshore,16.0,5.6,0.201
126628,1.0,offshore,16.0,5.74,0.211
126629,1.0,offshore,16.0,6.03,0.231
126631,1.0,offshore,16.0,5.95,0.227
126633,1.0,offshore,16.0,5.96,0.228
126634,1.0,offshore,16.0,5.77,0.215
126635,1.0,offshore,16.0,5.59,0.203
126636,1.0,offshore,16.0,5.45,0.193
126637,1.0,offshore,16.0,5.94,0.231
126638,1.0,offshore,16.0,5.76,0.216
126639,1.0,offshore,16.0,5.56,0.201
126640,1.0,offshore,16.0,5.37,0.189
126641,1.0,offshore,16.0,5.23,0.182
126643,1.0,offshore,16.0,5.89,0.232
126644,1.0,offshore,16.0,5.72,0.221
126646,1.0,offshore,16.0,5.35,0.191
126647,1.0,offshore,16.0,5.15,0.178
126648,1.0,offshore,16.0,5.01,0.171
126649,1.0,offshore,16.0,4.83,0.163
126650,1.0,offshore,16.0,5.43,0.208
126651,1.0,offshore,16.0,5.33,0.2
122004,1.0,offshore,16.0,7.75,0.339
122135,1.0,offshore,16.0,7.7,0.338
123549,1.0,offshore,16.0,8.02,0.37
123550,1.0,offshore,16.0,8.0,0.369
123551,1.0,offshore,16.0,7.97,0.367
123552,1.0,offshore,16.0,7.95,0.366
123621,1.0,offshore,16.0,8.01,0.369
123623,1.0,offshore,16.0,7.97,0.366
123624,1.0,offshore,16.0,7.94,0.365
123693,1.0,offshore,16.0,7.98,0.367
123694,1.0,offshore,16.0,7.96,0.366
123695,1.0,offshore,16.0,7.94,0.364
124312,1.0,offshore,16.0,7.46,0.325
124403,1.0,offshore,16.0,7.4,0.318
124518,1.0,offshore,16.0,7.44,0.317
125104,1.0,offshore,16.0,5.93,0.209
125244,1.0,offshore,16.0,7.35,0.31
125344,1.0,offshore,16.0,7.84,0.349
125345,1.0,offshore,16.0,7.79,0.345
125389,1.0,offshore,16.0,7.99,0.362
125456,1.0,offshore,16.0,8.04,0.367
125525,1.0,offshore,16.0,8.41,0.399
89904,1.0,offshore,16.0,6.12,0.248
90628,1.0,offshore,16.0,5.68,0.212
90997,1.0,offshore,16.0,5.36,0.194
91169,1.0,offshore,16.0,5.3,0.191
91703,1.0,offshore,16.0,6.53,0.273
92096,1.0,offshore,16.0,8.01,0.375
92289,1.0,offshore,16.0,8.79,0.424
92479,1.0,offshore,16.0,8.68,0.429
92674,1.0,offshore,16.0,8.23,0.421
92892,1.0,offshore,16.0,9.69,0.521
94404,1.0,offshore,16.0,8.3,0.413
94683,1.0,offshore,16.0,8.55,0.434
94943,1.0,offshore,16.0,8.75,0.452
95221,1.0,offshore,16.0,9.13,0.482
95486,1.0,offshore,16.0,9.65,0.516
95758,1.0,offshore,16.0,10.16,0.549
96287,1.0,offshore,16.0,10.06,0.554
96539,1.0,offshore,16.0,9.75,0.532
96540,1.0,offshore,16.0,9.63,0.523
96541,1.0,offshore,16.0,9.08,0.471
96793,1.0,offshore,16.0,9.34,0.494
96794,1.0,offshore,16.0,9.2,0.48
97070,1.0,offshore,16.0,8.63,0.431
97337,1.0,offshore,16.0,7.91,0.352
97851,1.0,offshore,16.0,7.42,0.302
98112,1.0,offshore,16.0,6.97,0.271
98113,1.0,offshore,16.0,6.4,0.232
98618,1.0,offshore,16.0,7.26,0.296
98619,1.0,offshore,16.0,6.85,0.268
100142,1.0,offshore,16.0,6.72,0.277
100999,1.0,offshore,16.0,8.74,0.424
101608,1.0,offshore,16.0,7.34,0.326
107846,1.0,offshore,16.0,6.18,0.25
107988,1.0,offshore,16.0,8.39,0.389
108074,1.0,offshore,16.0,8.52,0.398
