"point","lat","lon"
"1","46.8343","-124.7408"
"2","47.8491","-125.2686"
"3","48.2375","-125.0353"
"4","48.3042","-125.2844"
"5","47.8853","-125.5346"
"6","46.3027","-125.5233"
"7","46.3027","-125.6230"
"8","46.1611","-125.6344"
"9","46.1611","-125.5221"
"10","44.0014","-125.5044"
"11","43.9182","-125.5033"
"12","42.8008","-125.4601"
"13","42.7171","-125.4568"
"14","41.9743","-125.4231"
"15","41.8783","-125.4067"
"16","41.9097","-125.0757"
"17","41.9832","-125.0877"
"18","42.8714","-125.1271"
"19","43.0712","-124.7811"
"20","43.2415","-124.6692"
"21","42.9747","-125.1319"
"22","43.7462","-125.1568"
"23","43.4797","-124.6727"
"24","43.5847","-124.6733"
"25","43.8504","-125.1565"
"26","44.9944","-125.1595"
"27","46.0087","-124.5310"
"28","46.1635","-124.5649"
"29","45.2026","-125.1600"
"30","46.1624","-125.1623"
"31","46.1635","-124.5649"
"32","46.3019","-124.5954"
"33","46.3026","-125.1631"
"34","47.4017","-125.1650"
"35","46.3019","-124.5954"
